Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590031,DENORA,DE NORA INDIA LTD.,31 Mar 2008,Dividend - Rs. - 5.8000,-,03 Apr 2008,04 Apr 2008,26 Mar 2008,02 Apr 2008,-
590031,DENORA,DE NORA INDIA LTD.,24 Apr 2009,Dividend - Rs. - 2.5000,-,28 Apr 2009,30 Apr 2009,21 Apr 2009,27 Apr 2009,-
590031,DENORA,DE NORA INDIA LTD.,12 May 2011,Dividend - Rs. - 5.0000,-,16 May 2011,20 May 2011,09 May 2011,12 May 2011,-
590031,DENORA,DE NORA INDIA LTD.,21 Jun 2012,Dividend - Rs. - 6.0000,-,25 Jun 2012,28 Jun 2012,18 Jun 2012,22 Jun 2012,-
590031,DENORA,DE NORA INDIA LTD.,02 May 2013,Final Dividend - Rs. - 7.0000,-,06 May 2013,08 May 2013,26 Apr 2013,03 May 2013,23 May 2013
590031,DENORA,DE NORA INDIA LTD.,08 May 2014,Dividend - Rs. - 4.0000,-,10 May 2014,14 May 2014,05 May 2014,08 May 2014,10 Jun 2014
590031,DENORA,DE NORA INDIA LTD.,18 Jun 2015,Dividend - Rs. - 1.5000,-,22 Jun 2015,29 Jun 2015,15 Jun 2015,19 Jun 2015,14 Jul 2015
590031,DENORA,DE NORA INDIA LTD.,12 Sep 2016,Dividend - Rs. - 4.0000,-,15 Sep 2016,21 Sep 2016,07 Sep 2016,14 Sep 2016,-
590031,DENORA,DE NORA INDIA LTD.,19 Sep 2017,Dividend - Rs. - 2.0000,-,21 Sep 2017,27 Sep 2017,14 Sep 2017,20 Sep 2017,-
590031,DENORA,DE NORA INDIA LTD.,18 Sep 2018,Dividend - Rs. - 1.0000,-,20 Sep 2018,26 Sep 2018,12 Sep 2018,18 Sep 2018,-
