Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590073,WHEELS,WHEELS INDIA LTD.,14 Feb 2008,Interim Dividend - Rs. - 3.0000,15 Feb 2008,-,-,08 Feb 2008,14 Feb 2008,-
590073,WHEELS,WHEELS INDIA LTD.,30 Apr 2008,Interim Dividend - Rs. - 4.0000,03 May 2008,-,-,25 Apr 2008,30 Apr 2008,-
590073,WHEELS,WHEELS INDIA LTD.,05 Aug 2009,Dividend - Rs. - 5.5000,-,07 Aug 2009,14 Aug 2009,31 Jul 2009,06 Aug 2009,-
590073,WHEELS,WHEELS INDIA LTD.,05 Aug 2010,Dividend - Rs. - 4.5000,-,07 Aug 2010,13 Aug 2010,02 Aug 2010,05 Aug 2010,-
590073,WHEELS,WHEELS INDIA LTD.,28 Jul 2011,Dividend - Rs. - 6.5000,-,01 Aug 2011,10 Aug 2011,25 Jul 2011,29 Jul 2011,-
590073,WHEELS,WHEELS INDIA LTD.,20 Mar 2012,Interim Dividend - Rs. - 4.0000,21 Mar 2012,-,-,14 Mar 2012,20 Mar 2012,-
590073,WHEELS,WHEELS INDIA LTD.,30 Jul 2012,Final Dividend - Rs. - 6.0000,-,01 Aug 2012,14 Aug 2012,25 Jul 2012,31 Jul 2012,-
590073,WHEELS,WHEELS INDIA LTD.,30 Jul 2013,Dividend - Rs. - 8.1000,-,01 Aug 2013,13 Aug 2013,25 Jul 2013,31 Jul 2013,12 Sep 2013
590073,WHEELS,WHEELS INDIA LTD.,06 Jan 2014,Interim Dividend - Rs. - 4.0000,07 Jan 2014,-,-,31 Dec 2013,06 Jan 2014,20 Jan 2014
590073,WHEELS,WHEELS INDIA LTD.,13 Feb 2014,Right Issue of Equity Shares ,14 Feb 2014,-,-,07 Feb 2014,13 Feb 2014,-
590073,WHEELS,WHEELS INDIA LTD.,27 Aug 2014,Final Dividend - Rs. - 4.2000,-,01 Sep 2014,08 Sep 2014,22 Aug 2014,28 Aug 2014,04 Oct 2014
590073,WHEELS,WHEELS INDIA LTD.,12 Feb 2015,Interim Dividend - Rs. - 3.0000,13 Feb 2015,-,-,06 Feb 2015,12 Feb 2015,05 Mar 2015
590073,WHEELS,WHEELS INDIA LTD.,30 Jul 2015,Final Dividend - Rs. - 4.5000,-,01 Aug 2015,13 Aug 2015,27 Jul 2015,30 Jul 2015,10 Sep 2015
590073,WHEELS,WHEELS INDIA LTD.,22 Feb 2016,Interim Dividend - Rs. - 3.5000,23 Feb 2016,-,-,15 Feb 2016,22 Feb 2016,-
590073,WHEELS,WHEELS INDIA LTD.,28 Jul 2016,Final Dividend - Rs. - 5.5000,-,01 Aug 2016,10 Aug 2016,25 Jul 2016,29 Jul 2016,-
590073,WHEELS,WHEELS INDIA LTD.,17 Feb 2017,Interim Dividend - Rs. - 5.0000,21 Feb 2017,-,-,14 Feb 2017,17 Feb 2017,-
590073,WHEELS,WHEELS INDIA LTD.,28 Jul 2017,Final Dividend - Rs. - 8.0000,-,01 Aug 2017,10 Aug 2017,25 Jul 2017,31 Jul 2017,-
590073,WHEELS,WHEELS INDIA LTD.,15 Feb 2018,Interim Dividend - Rs. - 6.0000,19 Feb 2018,-,-,09 Feb 2018,15 Feb 2018,-
590073,WHEELS,WHEELS INDIA LTD.,08 Aug 2018,Final Dividend - Rs. - 9.0000,-,10 Aug 2018,14 Aug 2018,-,09 Aug 2018,-
590073,WHEELS,WHEELS INDIA LTD.,08 Aug 2018,Bonus issue 1:1,09 Aug 2018,-,-,02 Aug 2018,08 Aug 2018,-
590073,WHEELS,WHEELS INDIA LTD.,15 Feb 2019,Interim Dividend - Rs. - 3.2500,18 Feb 2019,-,-,11 Feb 2019,14 Feb 2019,-
590073,WHEELS,WHEELS INDIA LTD.,05 Aug 2019,Final Dividend - Rs. - 4.7500,-,07 Aug 2019,13 Aug 2019,31 Jul 2019,06 Aug 2019,-
590073,WHEELS,WHEELS INDIA LTD.,25 Feb 2020,Interim Dividend - Rs. - 3.0000,26 Feb 2020,-,-,17 Feb 2020,25 Feb 2020,-
590073,WHEELS,WHEELS INDIA LTD.,22 Jul 2020,Final Dividend - Rs. - 2.6500,-,24 Jul 2020,30 Jul 2020,17 Jul 2020,23 Jul 2020,-
