Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,09 Jul 2008,Dividend - Rs. - 4.0000,-,21 Jul 2008,24 Jul 2008,09 Jul 2008,24 Jul 2008,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,10 Jun 2009,Dividend - Rs. - 4.0000,-,22 Jun 2009,25 Jun 2009,10 Jun 2009,25 Jun 2009,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,01 Jul 2010,Dividend - Rs. - 4.0000,-,12 Jul 2010,15 Jul 2010,01 Jul 2010,15 Jul 2010,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,13 Jul 2011,Dividend - Rs. - 3.0000,-,25 Jul 2011,28 Jul 2011,13 Jul 2011,28 Jul 2011,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,04 Jul 2012,Dividend - Rs. - 3.0000,-,16 Jul 2012,19 Jul 2012,04 Jul 2012,19 Jul 2012,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,03 Jul 2013,Dividend - Rs. - 3.0000,-,15 Jul 2013,18 Jul 2013,03 Jul 2013,18 Jul 2013,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,02 Jul 2014,Dividend - Rs. - 1.5000,-,14 Jul 2014,17 Jul 2014,02 Jul 2014,17 Jul 2014,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,23 Feb 2018,E.G.M. ,-,09 Mar 2018,15 Mar 2018,23 Feb 2018,14 Mar 2018,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,06 Jul 2018,Dividend - Rs. - 0.5000,-,20 Jul 2018,26 Jul 2018,06 Jul 2018,25 Jul 2018,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,08 Jul 2019,Dividend - Rs. - 1.5000,-,10 Jul 2019,16 Jul 2019,03 Jul 2019,09 Jul 2019,-
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,22 Sep 2020,Dividend - Rs. - 1.5000,-,24 Sep 2020,30 Sep 2020,17 Sep 2020,23 Sep 2020,-
