Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
512329,KRL,Kintech Renewables Ltd,04 Sep 2008,Dividend - Rs. - 0.1000,-,18 Sep 2008,22 Sep 2008,04 Sep 2008,23 Sep 2008,-
512329,KRL,Kintech Renewables Ltd,03 Sep 2009,Dividend - Rs. - 0.1000,-,16 Sep 2009,18 Sep 2009,03 Sep 2009,18 Sep 2009,-
512329,KRL,Kintech Renewables Ltd,13 Aug 2010,Dividend - Rs. - 0.1000,-,27 Aug 2010,03 Sep 2010,13 Aug 2010,01 Sep 2010,-
512329,KRL,Kintech Renewables Ltd,03 Aug 2011,Dividend - Rs. - 0.1000,-,15 Aug 2011,17 Aug 2011,03 Aug 2011,17 Aug 2011,-
512329,KRL,Kintech Renewables Ltd,13 Aug 2012,Dividend - Rs. - 0.1000,-,16 Aug 2012,18 Aug 2012,08 Aug 2012,14 Aug 2012,-
512329,KRL,Kintech Renewables Ltd,27 Jun 2013,Dividend - Rs. - 0.1000,-,01 Jul 2013,03 Jul 2013,24 Jun 2013,27 Jun 2013,-
512329,KRL,Kintech Renewables Ltd,11 Sep 2017,Dividend - Rs. - 1.0000,-,13 Sep 2017,20 Sep 2017,06 Sep 2017,12 Sep 2017,-
512329,KRL,Kintech Renewables Ltd,07 Sep 2018,Final Dividend - Rs. - 1.0000,-,11 Sep 2018,18 Sep 2018,04 Sep 2018,10 Sep 2018,-
512329,KRL,Kintech Renewables Ltd,13 Sep 2019,Final Dividend - Rs. - 1.0000,-,17 Sep 2019,24 Sep 2019,09 Sep 2019,16 Sep 2019,-
512329,KRL,Kintech Renewables Ltd,12 Mar 2020,Interim Dividend - Rs. - 1.0000,13 Mar 2020,-,-,05 Mar 2020,12 Mar 2020,-
