Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
530557,NCLRESE,NCL RESEARCH & FINANCIAL SERVICES LTD.,04 Sep 2014,Dividend - Rs. - 0.5000,-,08 Sep 2014,15 Sep 2014,01 Sep 2014,05 Sep 2014,14 Oct 2014
530557,NCLRESE,NCL RESEARCH & FINANCIAL SERVICES LTD.,16 Oct 2014,Bonus issue 4:1,17 Oct 2014,-,-,10 Oct 2014,16 Oct 2014,-
530557,NCLRESE,NCL RESEARCH & FINANCIAL SERVICES LTD.,17 Nov 2014,Stock  Split From Rs.10/- to Rs.2/-,18 Nov 2014,-,-,11 Nov 2014,17 Nov 2014,-
