Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590082,LOHIASEC,LOHIA SECURITIES LTD.,22 Sep 2008,Dividend - Rs. - 1.2000,-,24 Sep 2008,27 Sep 2008,17 Sep 2008,23 Sep 2008,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,17 Sep 2009,Dividend - Rs. - 1.0000,-,21 Sep 2009,23 Sep 2009,14 Sep 2009,17 Sep 2009,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,16 Sep 2010,Final Dividend - Rs. - 1.0000,-,18 Sep 2010,25 Sep 2010,13 Sep 2010,16 Sep 2010,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,09 Sep 2011,Final Dividend - Rs. - 1.0000,-,13 Sep 2011,17 Sep 2011,06 Sep 2011,12 Sep 2011,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,17 Sep 2012,Dividend - Rs. - 0.2000,-,19 Sep 2012,22 Sep 2012,12 Sep 2012,17 Sep 2012,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,13 Sep 2013,Dividend - Rs. - 0.2000,-,17 Sep 2013,21 Sep 2013,10 Sep 2013,16 Sep 2013,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,19 Sep 2014,Final Dividend - Rs. - 0.2000,-,23 Sep 2014,27 Sep 2014,16 Sep 2014,22 Sep 2014,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,16 Sep 2015,Final Dividend - Rs. - 0.2000,-,21 Sep 2015,26 Sep 2015,15 Sep 2015,18 Sep 2015,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,12 Sep 2018,Dividend - Rs. - 0.2000,-,17 Sep 2018,22 Sep 2018,07 Sep 2018,14 Sep 2018,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,12 Sep 2019,Final Dividend - Rs. - 0.2000,-,16 Sep 2019,21 Sep 2019,06 Sep 2019,13 Sep 2019,-
590082,LOHIASEC,LOHIA SECURITIES LTD.,17 Sep 2020,Dividend - Rs. - 0.2000,-,21 Sep 2020,26 Sep 2020,14 Sep 2020,18 Sep 2020,-
