Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,20 Sep 2007,Dividend - Rs. - 1.0000,-,24 Sep 2007,28 Sep 2007,17 Sep 2007,21 Sep 2007,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,23 Sep 2008,Dividend - Rs. - 1.0000,-,25 Sep 2008,29 Sep 2008,18 Sep 2008,24 Sep 2008,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,23 Sep 2009,Dividend - Rs. - 1.0000,-,25 Sep 2009,28 Sep 2009,17 Sep 2009,24 Sep 2009,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,22 Sep 2010,Dividend - Rs. - 1.0000,-,24 Sep 2010,27 Sep 2010,17 Sep 2010,23 Sep 2010,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,21 Sep 2011,Dividend - Rs. - 1.0000,-,23 Sep 2011,26 Sep 2011,16 Sep 2011,22 Sep 2011,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,20 Sep 2012,Dividend - Rs. - 1.0000,-,24 Sep 2012,29 Sep 2012,14 Sep 2012,21 Sep 2012,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,20 Sep 2013,Dividend - Rs. - 1.0000,-,24 Sep 2013,30 Sep 2013,17 Sep 2013,23 Sep 2013,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,18 Sep 2015,Dividend - Rs. - 1.0000,-,22 Sep 2015,28 Sep 2015,14 Sep 2015,21 Sep 2015,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,04 Jul 2016,Dividend - Rs. - 1.0000,-,07 Jul 2016,08 Jul 2016,29 Jun 2016,05 Jul 2016,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,09 Aug 2016,Bonus issue 1:2,10 Aug 2016,-,-,03 Aug 2016,09 Aug 2016,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,14 Sep 2017,Dividend - Rs. - 1.0000,-,16 Sep 2017,27 Sep 2017,11 Sep 2017,14 Sep 2017,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,12 Sep 2018,Dividend - Rs. - 1.0000,-,17 Sep 2018,27 Sep 2018,07 Sep 2018,14 Sep 2018,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,12 Sep 2019,Final Dividend - Rs. - 1.0000,-,14 Sep 2019,23 Sep 2019,06 Sep 2019,12 Sep 2019,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,17 Sep 2020,Final Dividend - Rs. - 1.0000,-,19 Sep 2020,29 Sep 2020,14 Sep 2020,17 Sep 2020,-
