Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,07 Sep 2016,Dividend - Rs. - 25.0000,-,09 Sep 2016,15 Sep 2016,01 Sep 2016,08 Sep 2016,-
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,14 Aug 2017,Dividend - Rs. - 25.0000,-,18 Aug 2017,24 Aug 2017,10 Aug 2017,17 Aug 2017,-
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,06 Sep 2018,Dividend - Rs. - 25.0000,-,08 Sep 2018,14 Sep 2018,03 Sep 2018,06 Sep 2018,-
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,17 Sep 2019,Dividend - Rs. - 25.0000,-,19 Sep 2019,25 Sep 2019,12 Sep 2019,18 Sep 2019,-
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,03 Sep 2020,Dividend - Rs. - 25.0000,-,05 Sep 2020,11 Sep 2020,31 Aug 2020,03 Sep 2020,-
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,31 Dec 2020,Bonus issue 2:5,02 Jan 2021,-,-,28 Dec 2020,31 Dec 2020,-
