Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590078,MAITHANALL,MAITHAN ALLOYS LTD.,28 Aug 2008,Dividend - Rs. - 2.0000,-,30 Aug 2008,06 Sep 2008,25 Aug 2008,28 Aug 2008,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,16 Jul 2009,Dividend - Rs. - 1.0000,-,18 Jul 2009,25 Jul 2009,13 Jul 2009,16 Jul 2009,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,17 Jun 2010,Bonus issue 1:2,19 Jun 2010,-,-,14 Jun 2010,17 Jun 2010,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,12 Aug 2010,Dividend - Rs. - 1.0000,-,14 Aug 2010,18 Aug 2010,09 Aug 2010,12 Aug 2010,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,18 Aug 2011,Dividend - Rs. - 2.0000,-,23 Aug 2011,27 Aug 2011,12 Aug 2011,22 Aug 2011,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,13 Sep 2012,Dividend - Rs. - 2.0000,-,15 Sep 2012,21 Sep 2012,10 Sep 2012,13 Sep 2012,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,18 Jul 2013,Dividend - Rs. - 2.0000,-,20 Jul 2013,26 Jul 2013,15 Jul 2013,18 Jul 2013,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,16 Sep 2014,Dividend - Rs. - 2.0000,-,18 Sep 2014,22 Sep 2014,11 Sep 2014,17 Sep 2014,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,15 Jul 2015,Bonus issue 1:1,16 Jul 2015,-,-,09 Jul 2015,15 Jul 2015,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,02 Sep 2015,Dividend - Rs. - 2.0000,-,04 Sep 2015,11 Sep 2015,28 Aug 2015,03 Sep 2015,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,22 Mar 2016,Interim Dividend - Rs. - 2.0000,23 Mar 2016,-,-,16 Mar 2016,22 Mar 2016,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,16 Aug 2017,Dividend - Rs. - 2.5000,-,21 Aug 2017,26 Aug 2017,10 Aug 2017,18 Aug 2017,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,23 Aug 2018,Dividend - Rs. - 3.0000,-,27 Aug 2018,31 Aug 2018,16 Aug 2018,24 Aug 2018,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,09 Aug 2019,Dividend - Rs. - 6.0000,-,14 Aug 2019,20 Aug 2019,06 Aug 2019,13 Aug 2019,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,09 Mar 2020,Interim Dividend - Rs. - 6.0000,11 Mar 2020,-,-,03 Mar 2020,09 Mar 2020,-
