Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
509845,RJSHAH,R.J.SHAH & CO.LTD.,06 Sep 2007,Dividend - Rs. - 2.5000,-,18 Sep 2007,27 Sep 2007,06 Sep 2007,21 Sep 2007,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,04 Sep 2008,Dividend - Rs. - 2.5000,-,18 Sep 2008,25 Sep 2008,04 Sep 2008,23 Sep 2008,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,10 Sep 2009,Dividend - Rs. - 2.5000,-,22 Sep 2009,29 Sep 2009,10 Sep 2009,24 Sep 2009,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,08 Sep 2010,Dividend - Rs. - 1.5000,-,22 Sep 2010,29 Sep 2010,08 Sep 2010,27 Sep 2010,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,08 Sep 2011,Dividend - Rs. - 10.0000,-,22 Sep 2011,29 Sep 2011,08 Sep 2011,27 Sep 2011,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,07 Sep 2012,Dividend - Rs. - 1.5000,-,21 Sep 2012,28 Sep 2012,07 Sep 2012,26 Sep 2012,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,05 Sep 2013,Dividend - Rs. - 1.5000,-,19 Sep 2013,26 Sep 2013,05 Sep 2013,24 Sep 2013,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,05 Sep 2014,Dividend - Rs. - 1.5000,-,19 Sep 2014,26 Sep 2014,05 Sep 2014,24 Sep 2014,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,07 Sep 2015,Dividend - Rs. - 1.5000,-,19 Sep 2015,29 Sep 2015,07 Sep 2015,22 Sep 2015,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,08 Sep 2016,Dividend - Rs. - 1.0000,-,20 Sep 2016,28 Sep 2016,08 Sep 2016,23 Sep 2016,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,05 Sep 2017,Dividend - Rs. - 10.0000,-,15 Sep 2017,26 Sep 2017,05 Sep 2017,20 Sep 2017,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,03 Sep 2018,Dividend - Rs. - 1.5000,-,15 Sep 2018,28 Sep 2018,03 Sep 2018,18 Sep 2018,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,19 Sep 2019,Dividend - Rs. - 5.0000,-,23 Sep 2019,30 Sep 2019,16 Sep 2019,20 Sep 2019,-
509845,RJSHAH,R.J.SHAH & CO.LTD.,18 Sep 2020,Dividend - Rs. - 10.0000,-,22 Sep 2020,29 Sep 2020,15 Sep 2020,21 Sep 2020,-
