Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,22 Oct 2007,-,29 Oct 2007,-,-,22 Oct 2007,26 Oct 2007,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,08 May 2008,Interim Dividend - Rs. - 0.4000,09 May 2008,-,-,02 May 2008,08 May 2008,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,18 Aug 2008,Final Dividend - Rs. - 0.2000,-,21 Aug 2008,28 Aug 2008,12 Aug 2008,20 Aug 2008,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,09 Dec 2010,Dividend - Rs. - 0.1000,-,11 Dec 2010,15 Dec 2010,06 Dec 2010,09 Dec 2010,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,28 Jul 2011,Dividend - Rs. - 0.2000,-,01 Aug 2011,05 Aug 2011,25 Jul 2011,29 Jul 2011,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,24 May 2012,Interim Dividend - Rs. - 0.2400,25 May 2012,-,-,18 May 2012,24 May 2012,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,21 Feb 2013,Interim Dividend - Rs. - 0.2600,22 Feb 2013,-,-,14 Feb 2013,21 Feb 2013,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,29 May 2014,Interim Dividend - Rs. - 0.2400,30 May 2014,-,-,23 May 2014,29 May 2014,10 Jun 2014
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,26 Feb 2015,Interim Dividend - Rs. - 0.3000,27 Feb 2015,-,-,20 Feb 2015,26 Feb 2015,09 Mar 2015
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,03 Sep 2015,Final Dividend - Rs. - 0.1200,-,05 Sep 2015,16 Sep 2015,31 Aug 2015,03 Sep 2015,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,18 Feb 2016,Interim Dividend - Rs. - 0.4800,22 Feb 2016,-,-,15 Feb 2016,19 Feb 2016,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,08 Aug 2016,Interim Dividend - Rs. - 0.2000,09 Aug 2016,-,-,02 Aug 2016,08 Aug 2016,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,07 Feb 2017,Interim Dividend - Rs. - 0.4000,08 Feb 2017,-,-,01 Feb 2017,07 Feb 2017,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,12 Dec 2017,Interim Dividend - Rs. - 0.5000,13 Dec 2017,-,-,06 Dec 2017,12 Dec 2017,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,27 Jul 2018,Final Dividend - Rs. - 0.2000,-,31 Jul 2018,09 Aug 2018,24 Jul 2018,30 Jul 2018,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,26 Feb 2019,Interim Dividend - Rs. - 0.6000,27 Feb 2019,-,-,20 Feb 2019,26 Feb 2019,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,21 May 2019,Interim Dividend - Rs. - 1.4000,22 May 2019,-,-,15 May 2019,21 May 2019,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,26 Sep 2019,Interim Dividend - Rs. - 0.8000,27 Sep 2019,-,-,20 Sep 2019,26 Sep 2019,-
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,18 Feb 2020,Interim Dividend - Rs. - 1.1000,21 Feb 2020,-,-,13 Feb 2020,19 Feb 2020,-
