Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,17 Sep 2010,Final Dividend - Rs. - 186.0000,-,21 Sep 2010,28 Sep 2010,14 Sep 2010,20 Sep 2010,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,06 Sep 2011,Final Dividend - Rs. - 19.3000,-,08 Sep 2011,16 Sep 2011,30 Aug 2011,07 Sep 2011,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,10 Sep 2012,Final Dividend - Rs. - 8.6100,-,12 Sep 2012,19 Sep 2012,06 Sep 2012,11 Sep 2012,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,29 Oct 2012,Stock  Split From Rs.10/- to Rs.1/-,30 Oct 2012,-,-,19 Oct 2012,29 Oct 2012,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,10 Sep 2013,Final Dividend - Rs. - 3.2200,-,12 Sep 2013,20 Sep 2013,04 Sep 2013,11 Sep 2013,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,12 Sep 2014,Final Dividend - Rs. - 1.0400,-,16 Sep 2014,24 Sep 2014,09 Sep 2014,15 Sep 2014,14 Oct 2014
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,14 Sep 2015,Final Dividend - Rs. - 4.4300,-,16 Sep 2015,22 Sep 2015,09 Sep 2015,15 Sep 2015,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,16 Sep 2016,Dividend - Rs. - 2.6600,-,20 Sep 2016,21 Sep 2016,15 Sep 2016,19 Sep 2016,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,07 Sep 2017,Final Dividend - Rs. - 1.4600,-,09 Sep 2017,15 Sep 2017,04 Sep 2017,07 Sep 2017,-
590086,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,03 Jul 2019,E.G.M. ,-,05 Jul 2019,12 Jul 2019,28 Jun 2019,04 Jul 2019,-
