Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
512060,SHYAM,VENTURA GUARANTY LTD.,12 Sep 2014,Dividend - Rs. - 2.4000,-,26 Sep 2014,30 Sep 2014,12 Sep 2014,29 Sep 2014,15 Oct 2014
512060,SHYAM,VENTURA GUARANTY LTD.,10 Sep 2015,Dividend - Rs. - 2.4000,-,23 Sep 2015,30 Sep 2015,10 Sep 2015,28 Sep 2015,-
512060,SHYAM,VENTURA GUARANTY LTD.,17 Nov 2017,Interim Dividend - Rs. - 2.7000,01 Dec 2017,-,-,17 Nov 2017,06 Dec 2017,-
512060,SHYAM,VENTURA GUARANTY LTD.,06 Sep 2018,Final Dividend - Rs. - 1.8000,-,19 Sep 2018,26 Sep 2018,06 Sep 2018,24 Sep 2018,-
512060,SHYAM,VENTURA GUARANTY LTD.,17 Sep 2019,Final Dividend - Rs. - 2.7000,-,19 Sep 2019,26 Sep 2019,12 Sep 2019,18 Sep 2019,-
512060,SHYAM,VENTURA GUARANTY LTD.,21 Sep 2020,Final Dividend - Rs. - 3.0000,-,23 Sep 2020,30 Sep 2020,16 Sep 2020,22 Sep 2020,-
