Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
570002,FELDVR,Future Enterprises Ltd_DVR,25 Nov 2009,Dividend - Rs. - 0.7000,-,27 Nov 2009,02 Dec 2009,20 Nov 2009,26 Nov 2009,-
570002,FELDVR,Future Enterprises Ltd_DVR,17 Sep 2010,Scheme of Arrangement ,20 Sep 2010,-,-,13 Sep 2010,17 Sep 2010,-
570002,FELDVR,Future Enterprises Ltd_DVR,20 Oct 2010,Dividend - Rs. - 0.9000,-,22 Oct 2010,25 Oct 2010,15 Oct 2010,21 Oct 2010,-
570002,FELDVR,Future Enterprises Ltd_DVR,19 Oct 2011,Dividend - Rs. - 1.0000,-,21 Oct 2011,22 Oct 2011,14 Oct 2011,20 Oct 2011,-
570002,FELDVR,Future Enterprises Ltd_DVR,17 Apr 2013,Scheme of Arrangement ,18 Apr 2013,-,-,10 Apr 2013,17 Apr 2013,-
570002,FELDVR,Future Enterprises Ltd_DVR,20 May 2013,Dividend - Rs. - 1.1400,-,22 May 2013,24 May 2013,15 May 2013,21 May 2013,-
570002,FELDVR,Future Enterprises Ltd_DVR,21 Jun 2013,Scheme of Arrangement ,24 Jun 2013,-,-,17 Jun 2013,21 Jun 2013,-
570002,FELDVR,Future Enterprises Ltd_DVR,28 Jul 2014,Dividend - Rs. - 0.6400,-,31 Jul 2014,02 Aug 2014,23 Jul 2014,30 Jul 2014,-
570002,FELDVR,Future Enterprises Ltd_DVR,18 Nov 2014,Right Issue of Equity Shares ,19 Nov 2014,-,-,12 Nov 2014,18 Nov 2014,-
570002,FELDVR,Future Enterprises Ltd_DVR,17 Aug 2015,Dividend - Rs. - 0.6400,-,20 Aug 2015,26 Aug 2015,12 Aug 2015,19 Aug 2015,-
570002,FELDVR,Future Enterprises Ltd_DVR,11 May 2016,Spin Off ,12 May 2016,-,-,05 May 2016,11 May 2016,-
570002,FELDVR,Future Enterprises Ltd_DVR,19 Aug 2016,Dividend - Rs. - 0.1400,22 Aug 2016,-,-,11 Aug 2016,19 Aug 2016,-
570002,FELDVR,Future Enterprises Ltd_DVR,21 Aug 2017,Dividend - Rs. - 0.2400,22 Aug 2017,-,-,11 Aug 2017,21 Aug 2017,-
