security code,security name,revenue,income,expenditure,profit,eps,year,quartile
503635,SALSAIN,0.02,0.02,-0.01,0.01,0.04,2007,3
503635,SALSAIN,0.02,0.02,-0.01,0.01,0.06,2007,4
503635,SALSAIN,0.02,0.02,-0.03,,-0.02,2008,1
503635,SALSAIN,0.02,0.02,-0.02,0.01,0.03,2008,2
503635,SALSAIN,0.02,0.02,-0.01,0.01,0.05,2008,3
503635,SALSAIN,0.02,0.01,-0.01,0.01,0.03,2008,4
503635,SALSAIN,0.08,0.00,-0.08,0.00,-0.01,2009,1
503635,SALSAIN,0.02,0.02,-0.02,0.01,0.02,2009,2
503635,SALSAIN,0.03,0.02,0.00,0.02,0.08,2009,3
503635,SALSAIN,0.02,0.02,-0.01,0.01,0.05,2009,4
503635,SALSAIN,0.02,-0.01,-0.03,-0.21,-6.18,2010,1
503635,SALSAIN,,-0.01,-0.01,-0.01,-0.07,2010,2
503635,SALSAIN,,-0.01,-0.01,-0.01,-0.03,2010,3
503635,SALSAIN,,-0.34,-0.33,-0.34,-0.17,2010,4
503635,SALSAIN,,-0.50,-0.49,-0.50,-2.49,2011,1
503635,SALSAIN,,-0.48,-0.47,-0.48,-2.41,2011,2
503635,SALSAIN,13.28,13.28,-0.43,10.19,50.93,2011,3
503635,SALSAIN,,-0.40,-0.39,-0.40,-2.00,2011,4
503635,SALSAIN,,-0.29,-0.27,-0.69,-3.43,2012,1
503635,SALSAIN,,-0.21,-0.21,-0.21,-1.05,2012,2
503635,SALSAIN,,-0.34,-0.34,-0.34,-1.70,2012,3
503635,SALSAIN,,-0.99,-0.99,-0.99,-4.94,2012,4
503635,SALSAIN,1.24,1.24,-0.40,0.82,4.10,2013,1
503635,SALSAIN,,-0.25,-0.25,-0.25,-1.25,2013,2
503635,SALSAIN,,-0.34,-0.34,-0.34,-1.68,2013,3
503635,SALSAIN,0.14,0.14,-0.82,-0.68,-3.40,2013,4
503635,SALSAIN,2.35,2.35,-0.97,1.33,6.64,2014,1
503635,SALSAIN,0.40,0.40,-1.09,-0.11,-0.55,2014,2
503635,SALSAIN,0.24,0.24,-0.80,0.06,0.32,2014,3
503635,SALSAIN,0.64,0.64,-2.62,0.35,1.77,2014,4
503635,SALSAIN,4.98,4.98,-4.20,0.77,3.87,2015,1
503635,SALSAIN,0.67,0.67,-1.54,-0.87,-4.34,2015,2
503635,SALSAIN,0.76,0.76,-1.79,-1.02,-5.12,2015,3
503635,SALSAIN,0.99,0.99,-2.73,-1.74,-8.72,2015,4
503635,SALSAIN,8.59,8.59,-4.84,3.76,1.18,2016,1
503635,SALSAIN,2.31,2.31,-1.49,0.81,0.25,2016,2
503635,SALSAIN,2.44,2.44,-2.29,0.15,0.05,2016,3
503635,SALSAIN,3.08,3.08,-3.07,0.01,,2016,4
503635,SALSAIN,6.38,6.38,-5.54,0.42,0.13,2017,1
503635,SALSAIN,3.91,3.91,-3.84,0.07,0.02,2017,2
503635,SALSAIN,1.83,1.83,-2.67,-0.85,-0.26,2017,3
503635,SALSAIN,1.79,1.79,-0.68,0.06,0.02,2017,4
503635,SALSAIN,1.68,2.27,-0.35,0.85,0.27,2018,1
503635,SALSAIN,1.54,1.54,-0.77,0.17,0.05,2018,2
503635,SALSAIN,0.87,0.87,-0.62,-0.53,-0.17,2018,3
503635,SALSAIN,1.31,1.31,-0.67,-0.15,,2018,4
503635,SALSAIN,3.05,3.05,-1.21,0.46,0.02,2019,1
503635,SALSAIN,1.42,1.42,-0.48,0.29,0.01,2019,2
503635,SALSAIN,1.43,1.43,-0.47,0.21,0.01,2019,3
503635,SALSAIN,1.75,1.75,-0.66,0.08,,2019,4
503635,SALSAIN,1.79,1.79,-0.97,-0.33,-0.01,2020,1
503635,SALSAIN,1.57,1.57,-0.75,0.16,0.01,2020,2
503635,SALSAIN,1.60,1.60,-0.44,0.22,0.01,2020,3
503635,SALSAIN,5.64,5.64,-0.21,1.28,0.04,2020,4
