security code,security name,revenue,income,expenditure,profit,eps,year,quartile
512433,ASUTENT,,0.35,-0.11,0.25,0.11,2007,3
512433,ASUTENT,,0.25,-0.20,0.05,0.02,2007,4
512433,ASUTENT,,0.51,-0.44,0.05,0.02,2008,1
512433,ASUTENT,,,-2.06,-2.06,,2008,2
512433,ASUTENT,0.31,0.31,-0.10,0.16,0.07,2008,3
512433,ASUTENT,2.16,2.16,-0.68,1.30,0.58,2008,4
512433,ASUTENT,3.01,3.01,-0.07,3.28,1.46,2009,1
512433,ASUTENT,5.07,5.07,-1.55,3.32,1.48,2009,2
512433,ASUTENT,1.82,1.82,-0.17,1.20,0.54,2009,3
512433,ASUTENT,,-0.50,-0.50,-0.58,,2009,4
512433,ASUTENT,0.52,0.52,-0.64,-0.14,-0.06,2010,1
512433,ASUTENT,,-0.57,-0.57,-0.57,-0.25,2010,2
512433,ASUTENT,3.65,3.65,-0.21,3.44,1.54,2010,3
512433,ASUTENT,,-0.57,-0.57,-0.06,-0.03,2010,4
512433,ASUTENT,,-0.34,-0.34,-0.72,,2011,1
512433,ASUTENT,,-0.24,-0.24,-0.24,,2011,2
512433,ASUTENT,,-0.33,-0.33,3.45,1.54,2011,3
512433,ASUTENT,,-0.16,-0.16,-0.11,-0.05,2011,4
512433,ASUTENT,,-0.63,-0.25,-0.66,,2012,1
512433,ASUTENT,,-0.24,-0.15,-0.24,,2012,2
512433,ASUTENT,,-0.20,-0.15,3.69,1.65,2012,3
512433,ASUTENT,,-0.44,-0.16,-0.74,-0.33,2012,4
512433,ASUTENT,,-0.33,-0.15,-0.78,-0.35,2013,1
512433,ASUTENT,,-0.31,-0.15,-0.31,-0.14,2013,2
512433,ASUTENT,3.84,3.84,-0.15,3.49,1.56,2013,3
512433,ASUTENT,,-0.38,-0.15,-0.38,-0.17,2013,4
512433,ASUTENT,,-0.30,-0.15,-0.30,-0.13,2014,2
512433,ASUTENT,3.81,3.81,-0.15,3.17,1.41,2014,3
512433,ASUTENT,0.09,0.09,-0.15,-0.24,-0.11,2014,4
512433,ASUTENT,0.12,0.12,-0.15,0.44,0.20,2015,1
512433,ASUTENT,,-0.17,-0.15,-0.17,-0.08,2015,2
512433,ASUTENT,3.81,3.60,-0.15,3.60,1.60,2015,3
512433,ASUTENT,,-0.16,-0.15,-0.16,-0.07,2015,4
512433,ASUTENT,,-0.28,-0.15,-0.28,-0.12,2016,1
512433,ASUTENT,,-0.20,-0.15,-0.20,-0.09,2016,2
512433,ASUTENT,3.84,3.84,-0.15,3.56,1.59,2016,3
512433,ASUTENT,,-0.86,-0.16,-0.86,-0.39,2016,4
512433,ASUTENT,1.14,1.14,-0.20,0.95,0.42,2017,1
512433,ASUTENT,,2.90,-0.07,2.68,1.19,2017,2
512433,ASUTENT,,0.02,-0.19,-0.17,-0.08,2017,3
512433,ASUTENT,3.81,3.81,-3.91,-0.35,-0.16,2017,4
512433,ASUTENT,,,-0.07,-0.31,-0.14,2018,1
512433,ASUTENT,,,-0.36,-0.51,-0.23,2018,2
512433,ASUTENT,,7.63,-0.04,7.48,3.34,2018,3
512433,ASUTENT,,,-0.04,-0.04,-0.02,2018,4
512433,ASUTENT,,,-0.10,0.18,0.08,2019,1
512433,ASUTENT,,,-0.42,-0.42,-0.19,2019,2
512433,ASUTENT,,14.31,-0.12,14.18,6.33,2019,3
512433,ASUTENT,,,-0.67,-0.67,-0.30,2019,4
512433,ASUTENT,3.71,3.71,-0.26,0.11,0.05,2020,1
512433,ASUTENT,5.07,5.07,-0.32,0.23,0.10,2020,2
512433,ASUTENT,6.73,21.03,-0.35,14.56,6.50,2020,3
512433,ASUTENT,7.45,7.45,-0.20,0.53,0.24,2020,4
