security code,security name,revenue,income,expenditure,profit,eps,year,quartile
522036,MIVENMACH,25.64,25.69,-26.37,-2.20,-0.73,2007,3
522036,MIVENMACH,24.04,24.05,-22.37,0.03,0.01,2007,4
522036,MIVENMACH,51.94,52.84,-45.98,3.56,1.19,2008,1
522036,MIVENMACH,29.49,29.49,-27.37,0.52,0.17,2008,2
522036,MIVENMACH,13.80,13.84,-12.20,0.03,0.01,2008,3
522036,MIVENMACH,3.98,3.38,-9.38,-6.38,-2.24,2009,1
522036,MIVENMACH,19.69,19.35,-16.80,1.35,0.45,2009,3
522036,MIVENMACH,5.62,5.21,-7.27,-3.12,-1.04,2009,4
522036,MIVENMACH,14.89,14.64,-17.76,-4.50,-1.50,2010,1
522036,MIVENMACH,4.35,4.02,-6.33,-3.73,-1.24,2010,2
522036,MIVENMACH,3.67,2.69,-6.30,-3.43,-1.14,2010,3
522036,MIVENMACH,11.13,9.85,-10.53,-0.64,-0.21,2010,4
522036,MIVENMACH,41.25,40.27,-39.34,0.45,0.15,2011,1
522036,MIVENMACH,13.87,13.71,-16.22,-4.03,-1.34,2011,2
522036,MIVENMACH,11.90,11.74,-13.90,-3.68,-1.23,2011,3
522036,MIVENMACH,21.45,20.56,-21.34,-1.93,-0.64,2011,4
522036,MIVENMACH,41.21,40.67,-4.88,1.08,0.36,2012,1
522036,MIVENMACH,17.22,17.07,-3.51,-3.24,-1.08,2012,2
522036,MIVENMACH,14.64,3.20,-3.06,-4.01,-1.33,2012,3
522036,MIVENMACH,11.86,11.37,-3.95,-4.49,-1.49,2012,4
522036,MIVENMACH,23.96,23.80,-3.16,-0.66,-0.22,2013,1
522036,MIVENMACH,9.40,9.30,-3.50,-5.38,-1.79,2013,2
522036,MIVENMACH,1.64,1.46,-2.52,-8.53,-2.84,2013,3
522036,MIVENMACH,36.53,36.36,-6.77,-2.52,-0.84,2013,4
522036,MIVENMACH,18.52,18.37,-3.40,0.10,0.03,2014,1
522036,MIVENMACH,8.11,8.02,-2.79,-5.71,-1.90,2014,2
522036,MIVENMACH,13.34,13.24,-1.90,-5.08,-1.69,2014,3
522036,MIVENMACH,6.73,6.64,-2.80,-5.48,-1.83,2014,4
522036,MIVENMACH,36.51,36.49,-3.92,-8.43,-2.81,2015,1
522036,MIVENMACH,19.67,19.24,-3.38,-2.89,-0.96,2015,2
522036,MIVENMACH,6.14,5.99,-2.32,-6.59,-2.19,2015,3
522036,MIVENMACH,9.67,0.35,-3.12,-6.32,-2.10,2015,4
522036,MIVENMACH,1.75,0.96,-3.38,-9.67,-3.23,2016,1
522036,MIVENMACH,1.15,0.27,-3.58,-8.08,-2.69,2016,2
522036,MIVENMACH,3.01,0.95,-1.72,-4.49,-1.51,2016,3
522036,MIVENMACH,2.18,0.08,-1.24,-5.03,-1.67,2016,4
522036,MIVENMACH,21.69,24.99,-1.84,-8.54,-2.84,2017,1
522036,MIVENMACH,5.18,5.30,-2.01,-10.33,-3.44,2017,2
522036,MIVENMACH,5.50,5.52,-1.77,-7.63,-2.53,2017,3
522036,MIVENMACH,4.84,4.87,-1.91,-7.19,-2.38,2017,4
522036,MIVENMACH,4.95,21.02,-15.14,5.87,2.02,2018,1
522036,MIVENMACH,9.44,20.07,-2.97,3.84,1.30,2018,2
522036,MIVENMACH,17.64,33.22,-2.27,11.75,3.94,2018,3
522036,MIVENMACH,6.08,6.12,-11.47,-5.34,-1.75,2018,4
522036,MIVENMACH,15.27,15.33,-23.22,-7.90,-2.67,2019,1
522036,MIVENMACH,14.08,46.21,-2.23,25.07,8.35,2019,2
522036,MIVENMACH,22.47,22.50,-23.64,-1.14,-0.37,2019,3
522036,MIVENMACH,11.89,66.76,-14.07,52.69,17.55,2019,4
522036,MIVENMACH,9.31,9.43,-28.99,-19.56,-6.45,2020,1
522036,MIVENMACH,0.19,0.37,-1.08,-3.48,-1.13,2020,2
522036,MIVENMACH,1.24,1.42,-1.44,-2.37,-0.77,2020,3
522036,MIVENMACH,1.78,1.98,-3.68,-1.70,-0.54,2020,4
