security code,security name,revenue,income,expenditure,profit,eps,year,quartile
531771,TOWASOK,0.39,0.39,-0.37,-0.01,,2007,3
531771,TOWASOK,0.29,0.29,-0.33,-0.07,,2007,4
531771,TOWASOK,0.74,0.74,-0.73,-0.01,,2008,1
531771,TOWASOK,0.43,0.47,-0.39,0.06,,2008,2
531771,TOWASOK,0.31,0.38,-0.42,-0.04,,2008,3
531771,TOWASOK,0.33,0.33,-0.45,-0.12,,2008,4
531771,TOWASOK,0.40,-0.07,-0.47,-1.52,,2009,1
531771,TOWASOK,0.27,-0.11,-0.38,-0.11,,2009,2
531771,TOWASOK,0.18,-0.12,-0.30,-0.11,,2009,3
531771,TOWASOK,0.31,-0.15,-0.46,0.28,,2009,4
531771,TOWASOK,0.35,-0.21,-0.56,-0.03,,2010,1
531771,TOWASOK,0.47,0.01,-0.45,0.10,,2010,2
531771,TOWASOK,0.33,-0.08,-0.41,0.07,,2010,3
531771,TOWASOK,1.21,-0.07,-1.29,0.02,,2010,4
531771,TOWASOK,12.09,0.01,-12.08,0.39,,2011,1
531771,TOWASOK,0.72,-0.34,-1.06,0.07,,2011,2
531771,TOWASOK,1.10,1.10,-1.18,0.06,,2011,3
531771,TOWASOK,0.92,0.92,-0.96,0.02,,2011,4
531771,TOWASOK,15.63,0.00,-15.63,0.05,,2012,1
531771,TOWASOK,0.19,0.19,-0.34,-0.46,,2012,2
531771,TOWASOK,0.23,-0.43,-0.66,-0.33,,2012,3
531771,TOWASOK,1.36,0.06,-1.30,0.09,,2012,4
531771,TOWASOK,1.60,0.08,-1.52,0.08,,2013,1
531771,TOWASOK,0.91,0.91,-1.04,-0.10,,2013,2
531771,TOWASOK,0.64,0.64,-0.16,-0.20,-0.02,2013,3
531771,TOWASOK,1.12,1.12,-0.09,-0.04,-0.01,2013,4
531771,TOWASOK,1.25,1.25,-0.11,-0.12,-0.02,2014,1
531771,TOWASOK,0.50,0.50,-0.22,-0.39,-0.05,2014,2
531771,TOWASOK,0.30,0.30,-0.14,-0.23,-0.03,2014,3
531771,TOWASOK,0.39,0.39,-0.09,-0.15,-0.02,2014,4
531771,TOWASOK,0.40,0.40,-0.10,0.02,0.00,2015,1
531771,TOWASOK,0.21,0.21,-0.29,-0.35,-0.04,2015,2
531771,TOWASOK,0.22,0.22,-0.12,-0.16,-0.02,2015,3
531771,TOWASOK,0.23,0.23,-0.11,-0.18,-0.02,2015,4
531771,TOWASOK,0.41,0.41,-0.14,-0.06,-0.01,2016,1
531771,TOWASOK,0.24,0.24,-0.42,-0.79,-0.17,2016,2
531771,TOWASOK,0.23,0.23,-0.15,-0.51,-0.11,2016,3
531771,TOWASOK,0.27,0.27,-0.12,-0.34,-0.08,2016,4
531771,TOWASOK,0.58,0.72,-0.11,-0.48,-0.10,2017,1
531771,TOWASOK,0.76,0.99,0.00,11.35,2.49,2017,2
531771,TOWASOK,0.01,0.23,-36.26,-36.26,-7.96,2017,3
531771,TOWASOK,0.10,0.31,-0.49,-0.29,-0.06,2017,4
531771,TOWASOK,0.07,0.27,-0.14,-0.05,-0.01,2018,1
531771,TOWASOK,0.15,0.35,-2.03,-1.87,0.41,2018,2
531771,TOWASOK,0.13,0.13,-0.25,-0.32,-0.03,2018,3
531771,TOWASOK,0.18,0.38,-0.20,-0.07,-0.01,2018,4
531771,TOWASOK,0.20,0.44,-0.38,-0.20,-0.04,2019,1
531771,TOWASOK,0.15,0.36,-0.54,-0.58,-0.13,2019,2
531771,TOWASOK,0.05,0.27,-0.22,-0.29,-0.06,2019,3
531771,TOWASOK,0.10,0.30,-0.13,-0.25,-0.05,2019,4
531771,TOWASOK,0.05,0.28,-0.39,-0.54,-0.12,2020,1
531771,TOWASOK,0.04,0.21,-0.52,-0.71,-0.16,2020,2
531771,TOWASOK,0.09,0.25,-0.22,-0.40,-0.09,2020,3
531771,TOWASOK,0.17,0.30,-0.53,-0.76,-0.17,2020,4
