security code,security name,revenue,income,expenditure,profit,eps,year,quartile
512377,MAGANTR,3.46,4.48,-0.04,1.27,0.17,2007,3
512377,MAGANTR,0.09,4.73,-0.04,4.18,0.56,2007,4
512377,MAGANTR,3.44,4.49,-0.02,-3.32,-0.45,2008,1
512377,MAGANTR,,1.13,-0.05,0.57,0.01,2008,2
512377,MAGANTR,7.82,7.82,-0.04,0.72,0.10,2008,3
512377,MAGANTR,0.46,0.46,-0.03,1.05,0.14,2008,4
512377,MAGANTR,33.26,33.26,0.01,-2.47,-0.33,2009,1
512377,MAGANTR,1.03,1.03,-0.02,0.87,0.12,2009,2
512377,MAGANTR,0.31,0.31,-0.02,0.61,0.08,2009,3
512377,MAGANTR,1.11,1.11,-0.05,0.43,0.06,2009,4
512377,MAGANTR,,-0.95,-0.01,-0.25,-0.03,2010,1
512377,MAGANTR,1.10,1.10,-0.06,0.37,0.05,2010,2
512377,MAGANTR,1.69,1.69,-0.05,0.71,0.09,2010,3
512377,MAGANTR,1.08,1.08,-0.06,0.44,0.06,2010,4
512377,MAGANTR,,-0.73,-0.07,0.52,0.07,2011,1
512377,MAGANTR,1.28,1.28,-0.05,0.71,0.09,2011,2
512377,MAGANTR,,-0.50,-0.08,0.37,0.05,2011,3
512377,MAGANTR,,-0.47,-0.03,0.37,0.50,2011,4
512377,MAGANTR,,-0.97,-0.27,-0.98,-1.31,2012,1
512377,MAGANTR,2.60,2.60,-0.35,0.83,1.11,2012,2
512377,MAGANTR,0.54,-1.09,-0.60,-0.29,-0.38,2012,3
512377,MAGANTR,,-0.51,-0.27,0.04,0.05,2012,4
512377,MAGANTR,,-0.72,-0.31,0.36,0.48,2013,1
512377,MAGANTR,0.42,-0.42,-0.29,0.55,0.58,2013,2
512377,MAGANTR,1.45,1.45,-0.41,0.55,0.57,2013,3
512377,MAGANTR,,-0.93,-0.53,-0.23,-0.23,2013,4
512377,MAGANTR,,-0.47,-0.14,0.53,0.55,2014,1
512377,MAGANTR,0.17,0.17,-0.31,0.05,0.05,2014,2
512377,MAGANTR,,-0.60,-0.34,0.08,0.08,2014,3
512377,MAGANTR,,-0.66,-0.40,0.04,0.04,2014,4
512377,MAGANTR,,-1.28,-0.25,-0.30,-0.31,2015,1
512377,MAGANTR,,-0.73,-0.48,0.05,0.05,2015,2
512377,MAGANTR,,-0.87,-0.59,-0.12,-0.12,2015,3
512377,MAGANTR,,-0.97,-0.66,-0.05,-0.06,2015,4
512377,MAGANTR,,-0.83,-0.17,-0.43,-0.45,2016,1
512377,MAGANTR,,-0.74,-0.24,0.03,0.03,2016,2
512377,MAGANTR,,-0.98,-0.56,0.30,0.31,2016,3
512377,MAGANTR,1.93,1.93,-0.56,1.90,1.99,2016,4
512377,MAGANTR,,1.52,-0.35,0.65,0.68,2017,1
512377,MAGANTR,,1.50,-0.42,0.32,0.33,2017,2
512377,MAGANTR,1.05,1.86,-0.40,0.50,0.53,2017,3
512377,MAGANTR,,0.87,-0.41,0.11,0.12,2017,4
512377,MAGANTR,,0.77,-0.22,-0.24,-0.25,2018,1
512377,MAGANTR,0.29,1.20,-0.26,0.16,0.17,2018,2
512377,MAGANTR,,1.12,-0.01,0.16,0.17,2018,3
512377,MAGANTR,,1.00,-0.46,0.23,0.24,2018,4
512377,MAGANTR,,0.99,-0.57,-0.12,-0.13,2019,1
512377,MAGANTR,,0.85,-0.32,0.05,0.04,2019,2
512377,MAGANTR,2.02,2.87,-0.40,1.12,0.94,2019,3
512377,MAGANTR,10.95,11.86,-0.74,5.98,6.29,2019,4
512377,MAGANTR,0.06,0.49,-0.66,-1.64,-1.38,2020,1
