SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
514034,JBF IND.LTD ,T ,Q,15.25,16.05,14.55,16.05,16.05,15.3,318,221358,3268772.0,,2021-05-05
514036,LOY.TEX MILL,X ,Q,496.0,497.95,480.0,482.3,480.0,495.95,10,149,73795.0,,2021-05-05
514043,HIMAT.SEIDE ,A ,Q,154.4,158.8,154.15,156.55,157.95,151.7,860,19490,3056148.0,,2021-05-05
514045,BSL LTD.    ,B ,Q,38.4,38.75,37.1,38.1,38.75,37.75,103,4654,176765.0,,2021-05-05
514087,PBM POLYTEX ,X ,Q,53.95,53.95,51.0,51.9,51.9,51.8,7,673,34848.0,,2021-05-05
514113,ADHINATH TEX,XT,Q,3.09,3.09,3.09,3.09,3.09,3.0,2,1059,3272.0,,2021-05-05
514128,KONARK SYN. ,X ,Q,5.93,5.93,5.93,5.93,5.93,6.21,1,251,1488.0,,2021-05-05
514138,SURYALATA SP,X ,Q,142.65,142.65,130.1,134.0,134.0,135.9,15,643,85898.0,,2021-05-05
514140,SURYAVA SPIN,X ,Q,7.39,7.39,7.39,7.39,7.39,7.54,4,410,3029.0,,2021-05-05
514142,TT LTD.     ,B ,Q,46.15,46.5,45.2,46.0,46.0,46.3,102,352,16118.0,,2021-05-05
514144,UNIWORTH LTD,XT,Q,0.56,0.6,0.56,0.6,0.6,0.58,3,612,359.0,,2021-05-05
514162,WELSPUN (I) ,A ,Q,83.9,84.5,82.5,82.85,82.7,82.35,1393,122220,10188183.0,,2021-05-05
514165,IND.ACRYLICS,X ,Q,12.4,12.48,12.15,12.25,12.25,12.21,428,357501,4398633.0,,2021-05-05
514167,GANESH ECOSP,B ,Q,587.9,587.9,561.15,570.05,569.7,565.9,90,959,543543.0,,2021-05-05
514175,VARDHMAN POL,B ,Q,18.7,18.8,18.1,18.15,18.1,18.0,176,4522,82802.0,,2021-05-05
514183,BLA ROS IND ,X ,Q,178.75,179.75,172.5,178.45,178.0,176.55,1853,55992,9894358.0,,2021-05-05
514211,SUMEET INDUS,T ,Q,4.75,4.8,4.39,4.42,4.44,4.62,44,20453,90445.0,,2021-05-05
514215,BINNY LTD.  ,X ,Q,109.85,109.85,103.0,103.7,103.0,107.1,94,10734,1118784.0,,2021-05-05
514223,RAMGOPAL POL,XT,Q,1.48,1.48,1.48,1.48,1.48,1.41,3,2500,3700.0,,2021-05-05
514234,SANGAM INDIA,T ,Q,82.0,83.2,82.0,83.2,83.2,79.25,7,417,34576.0,,2021-05-05
514240,KUSHIND     ,X ,Q,1.52,1.52,1.52,1.52,1.52,1.52,4,590,896.0,,2021-05-05
514248,SREECHEM RES,P ,Q,16.6,16.6,16.6,16.6,16.6,16.3,1,100,1660.0,,2021-05-05
514266,ZENITH FIBRE,X ,Q,36.65,37.95,35.0,36.25,36.35,36.35,85,31866,1143895.0,,2021-05-05
514272,BHILWARA SP.,X ,Q,13.89,13.89,13.89,13.89,13.89,13.89,2,10,138.0,,2021-05-05
514274,AARVEE DENIM,T ,Q,20.1,20.7,19.5,20.7,20.7,19.75,46,7069,143927.0,,2021-05-05
514286,ASHIMA LTD. ,B ,Q,15.55,16.2,15.5,15.95,15.7,15.9,82,13670,218919.0,,2021-05-05
514300,PIONEER EMB ,B ,Q,46.75,47.5,45.45,45.75,45.95,46.1,356,4077,188193.0,,2021-05-05
514302,VIPPY SPIN. ,X ,Q,52.0,52.0,46.45,48.2,46.6,50.45,23,2568,126137.0,,2021-05-05
514312,JAY HIND SYN,XT,Q,4.1,4.31,4.1,4.3,4.3,4.11,9,5227,21834.0,,2021-05-05
514318,JATTAINDUS  ,P ,Q,23.2,23.2,21.05,22.55,22.55,22.15,4,1200,25625.0,,2021-05-05
514322,KAMADGIRI   ,X ,Q,27.0,28.0,26.05,27.0,27.0,26.65,20,1317,36520.0,,2021-05-05
514326,PATSPIN INDI,B ,Q,4.83,4.95,4.35,4.75,4.75,4.5,31,11283,53099.0,,2021-05-05
514332,NEOINFRA    ,X ,Q,14.25,14.25,14.25,14.25,14.25,14.95,2,200,2850.0,,2021-05-05
514354,PREMIER POLY,B ,Q,40.95,41.9,37.3,38.1,38.0,38.5,26,1135,43606.0,,2021-05-05
514358,EVERLON SYN.,X ,Q,10.99,10.99,10.99,10.99,10.99,10.5,2,15,164.0,,2021-05-05
514360,KRRAIL      ,X ,Q,14.1,14.1,13.56,13.9,13.9,13.59,9,735,10046.0,,2021-05-05
514386,GUJ COTEX   ,X ,Q,1.34,1.34,1.34,1.34,1.34,1.28,2,10,13.0,,2021-05-05
514394,AJIL        ,X ,Q,27.45,28.0,24.0,26.55,26.5,26.65,55,4958,131353.0,,2021-05-05
514400,GARWARE SYN.,X ,Q,9.96,9.96,9.96,9.96,9.96,9.96,3,1010,10059.0,,2021-05-05
514412,SARUPINDUS  ,X ,Q,14.25,15.0,14.25,15.0,15.0,14.95,3,505,7571.0,,2021-05-05
514418,MANORG      ,X ,Q,605.0,615.0,601.65,611.45,608.0,606.45,467,16110,9804365.0,,2021-05-05
514428,HINDU.ADHESI,X ,Q,115.0,115.0,108.3,109.0,109.0,108.25,16,703,77103.0,,2021-05-05
514442,SRI KPR IND ,X ,Q,13.2,13.2,12.42,13.0,13.0,12.94,3,559,7258.0,,2021-05-05
514448,JYOTI RESINS,X ,Q,694.85,698.9,642.0,659.9,652.0,671.0,341,6459,4229045.0,,2021-05-05
514450,MAHA.RUBTECH,X ,Q,36.45,39.9,36.45,39.9,39.9,38.0,11,729,28438.0,,2021-05-05
514454,SOUTH.LATEX ,XT,Q,5.67,6.25,5.67,6.25,6.25,5.96,3,105,598.0,,2021-05-05
514460,OSWAL YARNS ,XT,Q,5.05,5.13,5.0,5.1,5.1,4.89,12,250,1274.0,,2021-05-05
514470,WIMSOME TEXT,B ,Q,29.2,29.25,27.5,29.25,29.25,27.9,26,6143,175547.0,,2021-05-05
515008,MOD.INSUL.  ,XT,Q,42.25,42.5,40.15,42.35,42.05,42.25,72,13969,576431.0,,2021-05-05
515030,ASAHI IN.GLA,A ,Q,305.9,307.0,301.05,302.3,304.0,308.5,456,8313,2520750.0,,2021-05-05
515037,MURD.CERAM  ,B ,Q,20.0,20.2,19.55,19.7,19.95,19.9,301,5997,119142.0,,2021-05-05
515043,SAINT-GOBAIN,X ,Q,64.7,66.45,64.0,65.95,65.95,64.5,466,87269,5715828.0,,2021-05-05
515055,ANANTRAJ    ,B ,Q,52.5,56.2,52.4,55.4,55.4,53.55,1002,122735,6786711.0,,2021-05-05
515059,MADHUS.IND. ,X ,Q,11.14,12.3,11.14,12.27,12.27,11.72,31,5346,59588.0,,2021-05-05
515085,RESTILE CER.,X ,Q,2.09,2.09,1.92,2.03,2.03,1.99,11,5166,9948.0,,2021-05-05
515093,MADHAV MARB.,B ,Q,49.95,50.1,49.9,49.95,49.95,49.55,11,247,12359.0,,2021-05-05
515127,RAMASIGNS   ,X ,Q,1.98,1.98,1.98,1.98,1.98,2.08,2,201,397.0,,2021-05-05
515145,HIND.NAT.GLS,B ,Q,34.3,34.3,33.15,34.15,33.7,32.7,241,16606,565153.0,,2021-05-05
515147,HALDYN GLASS,X ,Q,44.0,44.9,42.75,43.05,43.05,44.4,1484,296353,12828628.0,,2021-05-05
516003,DUROPLY     ,X ,Q,45.05,47.8,45.05,45.8,46.5,45.35,42,4810,221462.0,,2021-05-05
516007,MANGALAM TIM,B ,Q,10.5,10.5,10.2,10.2,10.2,10.25,56,1493,15403.0,,2021-05-05
516016,SHREYANS IND,B ,Q,98.9,98.9,87.2,91.9,91.9,92.3,503,10512,952045.0,,2021-05-05
516020,AGIO PAPER  ,X ,Q,2.25,2.25,2.09,2.09,2.09,2.19,9,803,1692.0,,2021-05-05
516022,STAR PAPER  ,B ,Q,129.0,131.8,125.0,127.55,127.0,126.35,772,30274,3906360.0,,2021-05-05
516030,YASHPAKKA   ,X ,Q,95.8,97.05,94.0,95.85,95.85,94.5,393,189488,18210847.0,,2021-05-05
516062,NAT.PLYWOOD ,Z ,Q,4.55,4.55,4.55,4.55,4.55,4.77,1,20,91.0,,2021-05-05
516064,ARROWGREEN  ,B ,Q,74.9,74.9,71.75,74.75,74.75,72.05,23,405,30103.0,,2021-05-05
516072,VISHNU CHEM ,B ,Q,325.0,329.5,313.25,323.35,323.35,323.9,253,6306,2009261.0,,2021-05-05
516078,JUMBO BAG   ,Z ,Q,8.8,9.2,8.8,8.8,8.8,8.8,4,1025,9030.0,,2021-05-05
516082,N.R.AGARWAL ,B ,Q,225.0,227.0,214.75,222.6,225.0,224.8,280,4556,1018427.0,,2021-05-05
516086,SH.RAJES.PAP,XT,Q,1.39,1.4,1.39,1.4,1.4,1.46,3,504,705.0,,2021-05-05
516092,3PLAND      ,B ,Q,9.81,10.62,9.81,10.27,10.13,10.5,38,1127,11695.0,,2021-05-05
516096,SANGAL PAPER,XT,Q,67.0,70.6,67.0,70.6,70.6,67.25,5,330,22866.0,,2021-05-05
516098,VENTURA TEXL,X ,Q,4.92,4.92,4.92,4.92,4.92,4.83,6,2550,12546.0,,2021-05-05
516106,SH.KARTHIK P,X ,Q,1.9,1.9,1.9,1.9,1.9,1.98,1,850,1615.0,,2021-05-05
516108,S.I.PAPER   ,X ,Q,89.0,90.0,79.8,81.5,81.5,86.7,275,55610,4534943.0,,2021-05-05
516110,SCANDENT    ,X ,Q,18.0,18.25,17.25,18.25,18.25,17.9,21,11804,209408.0,,2021-05-05
517015,VINDHYA TELE,A ,Q,840.0,865.0,840.0,853.1,855.0,845.25,216,1248,1070425.0,,2021-05-05
517035,RUTTONSHA IN,X ,Q,55.0,55.0,52.45,53.95,53.95,55.2,25,1734,91246.0,,2021-05-05
517041,ADORWELDING ,B ,Q,382.3,429.0,380.75,417.7,424.0,379.65,1104,11099,4568423.0,,2021-05-05
517059,SALZER ELEC ,B ,Q,123.5,127.45,121.95,122.45,122.5,122.25,144,3175,391465.0,,2021-05-05
517063,JETINFOTRAN ,X ,Q,39.0,39.0,38.05,38.05,38.05,40.0,2,2,77.0,,2021-05-05
517096,APLAB LTD.  ,X ,Q,14.15,17.0,14.15,16.95,16.95,17.25,12,1007,16903.0,,2021-05-05
517119,PCS TECH    ,X ,Q,5.05,5.65,5.04,5.28,5.61,5.26,25,2075,11309.0,,2021-05-05
517146,USHA MART.LT,A ,Q,51.65,54.4,48.9,50.2,50.2,51.55,4334,796126,40885438.0,,2021-05-05
517166,SPEL SEMICON,XT,Q,13.48,13.48,13.05,13.35,13.35,13.06,43,13733,180303.0,,2021-05-05
517168,SUBROS LTD. ,A ,Q,302.05,303.6,301.55,302.55,301.85,300.65,90,472,142724.0,,2021-05-05
517174,HONEYWELL   ,A ,Q,42610.0,42995.2,42000.0,42153.9,42153.9,42602.85,129,187,7939945.0,,2021-05-05
517201,SWITCH.TECH.,X ,Q,43.0,43.0,43.0,43.0,43.0,41.0,1,10,430.0,,2021-05-05
517206,LUMAX IND   ,B ,Q,1550.0,1553.05,1513.0,1520.6,1522.15,1535.1,74,165,251109.0,,2021-05-05
517214,DIGISPICE   ,B ,Q,31.0,31.95,30.25,30.45,30.5,31.8,329,21970,672528.0,,2021-05-05
517230,PREM.AU.ELEC,Z ,Q,6.99,6.99,6.99,6.99,6.99,7.35,5,575,4019.0,,2021-05-05
517236,CALCOM VISIO,XT,Q,22.75,22.75,22.75,22.75,22.75,22.75,1,90,2047.0,,2021-05-05
517238,DYNAVISION  ,XT,Q,60.35,63.8,60.0,62.55,63.8,60.8,5,580,35075.0,,2021-05-05
517246,BCC FUBA    ,XT,Q,13.9,13.9,13.85,13.85,13.85,14.13,16,2091,29010.0,,2021-05-05
517258,PRECISION EL,XT,Q,32.0,32.0,31.0,31.0,31.0,32.55,14,19351,606048.0,,2021-05-05
517264,FINELINE CI ,XT,Q,26.9,28.2,25.9,28.2,28.2,27.05,9,262,7113.0,,2021-05-05
517271,HBL P SYS   ,B ,Q,35.25,35.6,33.55,34.35,34.65,34.55,1126,79863,2772463.0,,2021-05-05
517273,S&S POWER SW,B ,Q,21.8,21.8,20.0,21.0,21.0,20.95,9,993,19864.0,,2021-05-05
517288,GUJARATPOLY ,X ,Q,6.8,6.8,6.66,6.8,6.8,6.95,5,2751,18706.0,,2021-05-05
517300,GUJ.IND.POW.,A ,Q,77.65,77.65,75.25,75.45,75.6,75.8,430,10803,817722.0,,2021-05-05
517330,CMI LTD.    ,B ,Q,42.75,43.3,41.1,42.6,42.65,42.05,53,6477,272556.0,,2021-05-05
517334,MOTHERSON SS,A ,Q,220.0,221.7,211.8,219.9,219.9,216.7,4646,652314,141828327.0,,2021-05-05
517344,MINDTECK (I),B ,Q,51.75,51.9,51.4,51.8,51.8,51.05,27,464,23901.0,,2021-05-05
517354,HAVELLSINDIA,A ,Q,989.35,1005.3,980.3,997.95,999.85,984.75,1572,39270,38975256.0,,2021-05-05
517356,ACI INFOCOM ,X ,Q,0.3,0.3,0.3,0.3,0.3,0.3,12,52101,15630.0,,2021-05-05
517370,INCAP LTD.  ,XT,Q,21.85,21.85,21.85,21.85,21.85,21.85,2,401,8761.0,,2021-05-05
517372,GUJ.INTRUX  ,X ,Q,100.95,100.95,96.5,98.6,99.5,99.45,13,170,16976.0,,2021-05-05
517380,IGARSHI MOT ,A ,Q,357.9,374.85,357.0,371.8,370.65,353.5,814,17655,6504619.0,,2021-05-05
517385,SYMPHONY    ,A ,Q,1122.0,1144.8,1090.55,1096.3,1099.9,1132.0,2178,17667,19614072.0,,2021-05-05
517393,VINTRON INF.,X ,Q,0.58,0.58,0.57,0.57,0.57,0.59,9,5799,3306.0,,2021-05-05
517399,VXL INSTRUM.,XT,Q,5.6,5.6,5.3,5.3,5.3,5.57,4,140,781.0,,2021-05-05
517415,LEE&NEE SOFT,XT,Q,2.43,2.59,2.43,2.43,2.43,2.55,35,18609,45506.0,,2021-05-05
517417,PATEL AIRTEM,X ,Q,146.9,146.9,143.05,143.85,145.55,144.7,76,2938,422795.0,,2021-05-05
517421,BFLYGANDHI  ,B ,Q,645.6,655.0,617.25,630.1,634.0,645.6,921,13691,8598980.0,,2021-05-05
517429,ATHENAGLO   ,XT,Q,34.75,34.75,34.75,34.75,34.75,33.1,3,601,20884.0,,2021-05-05
