Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,1.35,1.35,1.27,1.3,1.2996823956442831,8816,52,11458.0,7869,89.26,0.08,-0.05,1620086400.0
2021-05-03,1.32,1.38,1.26,1.32,1.3075406706507304,48192,110,63013.0,30294,62.86,0.12,0.0,1620000000.0
2021-04-30,1.29,1.34,1.29,1.32,1.3316650070751008,38162,55,50819.0,35126,92.04,0.05,0.03,1619740800.0
2021-04-29,1.32,1.37,1.26,1.28,1.3098527660700447,52909,74,69303.0,35964,67.97,0.11,-0.04,1619654400.0
2021-04-28,1.33,1.38,1.26,1.32,1.302553802945691,61242,94,79771.0,47233,77.13,0.12,-0.01,1619568000.0
2021-04-27,1.3,1.33,1.26,1.32,1.299191460803426,62582,103,81306.0,39998,63.91,0.07,0.02,1619481600.0
2021-04-26,1.33,1.38,1.26,1.27,1.2968251859723698,30112,97,39050.0,25576,84.94,0.12,-0.06,1619395200.0
2021-04-23,1.3,1.35,1.26,1.32,1.2861999294442128,31181,71,40105.0,28841,92.5,0.09,0.02,1619136000.0
2021-04-22,1.27,1.31,1.25,1.29,1.2792648821414303,42551,51,54434.0,41962,98.62,0.06,0.02,1619049600.0
2021-04-20,1.31,1.31,1.25,1.27,1.2939009210853871,20085,60,25988.0,18671,92.96,0.06,-0.04,1618876800.0
2021-04-19,1.25,1.3,1.25,1.26,1.2629756358989157,24257,65,30636.0,19187,79.1,0.05,0.01,1618790400.0
2021-04-16,1.26,1.34,1.26,1.31,1.312761756611224,33428,70,43883.0,33370,99.83,0.08,0.05,1618531200.0
2021-04-15,1.34,1.34,1.25,1.29,1.2771685599842404,45687,80,58350.0,41837,91.57,0.09,-0.05,1618444800.0
2021-04-13,1.22,1.34,1.22,1.29,1.3075427190610436,86905,114,113632.0,73523,84.6,0.12,0.07,1618272000.0
2021-04-12,1.3,1.39,1.27,1.28,1.3051256799849933,42648,126,55661.0,35401,83.01,0.12,-0.02,1618185600.0
2021-04-09,1.29,1.35,1.23,1.33,1.2954206372124362,83112,93,107665.0,49668,59.76,0.12,0.04,1617926400.0
2021-04-08,1.39,1.39,1.29,1.29,1.3045779843588607,54216,117,70729.0,51016,94.1,0.1,-0.1,1617840000.0
2021-04-07,1.43,1.43,1.33,1.35,1.371542241984554,21365,71,29303.0,18614,87.12,0.1,-0.08,1617753600.0
2021-04-06,1.4,1.4,1.3,1.37,1.3756689635873935,28589,70,39329.0,27978,97.86,0.1,-0.03,1617667200.0
2021-04-05,1.4,1.4,1.3,1.35,1.353271778402248,52311,92,70791.0,46186,88.29,0.1,-0.05,1617580800.0
2021-04-01,1.34,1.34,1.34,1.34,1.3399921258494667,58419,69,78281.0,55419,94.86,0.0,0.0,1617235200.0
2021-03-31,1.25,1.28,1.22,1.28,1.2762165430762864,31421,85,40100.0,31421,100.0,0.06,0.03,1617148800.0
2021-03-30,1.23,1.23,1.14,1.22,1.2197110266159696,32875,94,40098.0,28439,86.51,0.09,-0.01,1617062400.0
2021-03-26,1.3,1.3,1.18,1.19,1.205035731617962,105089,164,126636.0,93453,88.93,0.12,-0.11,1616716800.0
2021-03-25,1.3,1.35,1.24,1.24,1.2588985196437612,67146,98,84530.0,66846,99.55,0.11,-0.06,1616630400.0
2021-03-24,1.4,1.4,1.3,1.3,1.304765550937067,54852,120,71569.0,51028,93.03,0.1,-0.1,1616544000.0
