Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,27.75,28.8,27.0,27.5,27.77006507592191,922,38,25604.0,322.0,34.92,1.8000000000000007,-0.25,1620086400.0
2021-05-03,27.95,27.95,27.15,27.45,27.505325443786983,845,35,23242.0,264.0,31.24,0.8,-0.5,1620000000.0
2021-04-30,26.1,27.65,26.1,27.05,27.0,880,38,23760.0,194.0,22.05,1.55,0.95,1619740800.0
2021-04-29,27.55,27.55,26.6,26.65,27.0,90,7,2430.0,50.0,55.56,0.95,-0.9,1619654400.0
2021-04-28,27.05,28.1,26.7,27.0,27.041694687289844,1487,27,40211.0,616.0,41.43,1.4,-0.05,1619568000.0
2021-04-27,25.8,28.65,25.8,28.05,27.13506635157244,5501,157,149270.0,2281.0,41.47,2.85,2.25,1619481600.0
2021-04-26,25.0,26.1,25.0,25.75,25.782317979197625,6730,243,173515.0,1245.0,18.5,1.1,0.75,1619395200.0
2021-04-23,26.2,26.2,25.1,25.45,25.6090879793748,3103,110,79465.0,895.0,28.84,1.1,-0.75,1619136000.0
2021-04-22,24.75,25.5,24.7,25.2,25.04102564102564,1170,46,29298.0,159.0,13.59,0.8,0.45,1619049600.0
2021-04-20,24.25,24.25,23.15,23.15,23.425,80,2,1874.0,80.0,100.0,1.1,-1.1,1618876800.0
2021-04-19,25.35,25.35,23.5,24.3,24.10106820049301,2434,62,58662.0,1727.0,70.95,1.85,-1.05,1618790400.0
2021-04-16,24.7,25.8,24.7,25.0,25.064134495641344,1606,97,40253.0,1027.0,63.95,1.1,0.3,1618531200.0
2021-04-15,24.2,29.5,24.2,25.1,25.039117352056167,997,61,24964.0,350.0,35.11,5.3,0.9,1618444800.0
2021-04-13,24.95,24.95,24.75,24.9,24.909836065573767,366,26,9117.0,315.0,86.07,0.2,-0.05,1618272000.0
2021-04-12,25.55,27.95,23.2,24.45,24.58459672528805,1649,70,40540.0,727.0,44.09,4.75,-1.1,1618185600.0
2021-04-09,25.15,27.85,24.75,24.75,25.34,50,11,1267.0,46.0,92.0,3.1,-0.4,1617926400.0
2021-04-08,24.5,29.7,24.5,25.7,25.45380434782609,736,43,18734.0,139.0,18.89,5.2,1.2,1617840000.0
2021-04-07,25.7,25.7,24.4,25.25,25.217424826522745,1297,33,32707.0,651.0,50.19,1.3,-0.45,1617753600.0
2021-04-06,24.9,26.2,24.1,25.05,25.214504596527068,1958,128,49370.0,507.0,25.89,2.1,0.15,1617667200.0
2021-04-05,26.25,27.7,24.9,24.95,25.984260230849948,953,32,24763.0,405.0,42.5,2.8,-1.3,1617580800.0
2021-04-01,25.0,26.3,24.65,25.8,24.97282608695652,184,13,4595.0,88.0,47.83,1.65,0.8,1617235200.0
2021-03-31,29.5,29.5,24.75,25.0,25.21523178807947,1812,77,45690.0,693.0,38.24,4.75,-4.5,1617148800.0
2021-03-30,25.95,26.85,25.45,25.9,26.17709335899904,1039,65,27198.0,269.0,25.89,1.4,-0.05,1617062400.0
2021-03-26,26.5,26.5,25.15,25.9,25.926070038910503,1285,69,33315.0,190.0,14.79,1.35,-0.6,1616716800.0
2021-03-25,28.1,28.1,24.7,25.85,25.910189573459714,4220,218,109341.0,2425.0,57.46,3.4,-2.25,1616630400.0
2021-03-24,27.75,27.8,27.7,27.7,27.625,8,3,221.0,6.0,75.0,0.1,-0.05,1616544000.0
2021-03-23,26.95,28.55,26.95,27.3,27.514157973174367,671,41,18462.0,194.0,28.91,1.6,0.35,1616457600.0
2021-03-22,27.05,27.9,27.0,27.85,27.07006369426752,157,13,4250.0,150.0,95.54,0.9,0.8,1616371200.0
2021-03-19,28.9,28.9,26.8,27.6,27.809953434225843,3436,241,95555.0,1656.0,48.2,2.1,-1.3,1616112000.0
2021-03-18,27.3,28.1,26.85,27.4,27.433857539315447,1081,42,29656.0,456.0,42.18,1.25,0.1,1616025600.0
2021-03-17,27.3,28.7,27.15,27.25,27.87871581450653,2523,148,70338.0,747.0,29.61,1.55,-0.05,1615939200.0
2021-03-16,29.55,29.55,27.1,27.3,27.51884126236457,4246,143,116845.0,726.0,17.1,2.45,-2.25,1615852800.0
2021-03-15,26.85,29.55,26.85,28.15,27.46619385342789,2115,94,58091.0,498.0,23.55,2.7,1.3,1615766400.0
2021-03-12,27.75,28.45,27.45,28.3,28.0618720253834,1891,91,53065.0,463.0,24.48,1.0,0.55,1615507200.0
2021-03-10,26.8,29.55,26.8,27.95,28.059169764560096,3228,169,90575.0,952.0,29.49,2.75,1.15,1615334400.0
2021-03-09,27.75,28.0,27.1,27.55,27.528626880155265,4122,224,113473.0,395.0,9.58,0.9,-0.2,1615248000.0
2021-03-08,27.15,28.35,27.15,27.8,27.595119245701607,1803,106,49754.0,327.0,18.14,1.2,0.65,1615161600.0
2021-03-05,28.2,28.55,26.25,27.65,27.469010175763184,1081,68,29694.0,239.0,22.11,2.3,-0.55,1614902400.0
2021-03-04,28.4,28.4,26.9,27.1,27.15574712643678,1740,141,47251.0,653.0,37.53,1.5,-1.3,1614816000.0
2021-03-03,27.75,28.55,27.1,27.7,27.28723404255319,470,51,12825.0,469.0,99.79,1.45,-0.05,1614729600.0
2021-03-02,27.3,28.4,27.3,28.4,27.630769230769232,910,42,25144.0,332.0,36.48,1.1,1.1,1614643200.0
2021-03-01,27.2,28.55,27.2,27.55,27.645021645021643,2079,86,57474.0,387.0,18.61,1.35,0.35,1614556800.0
2021-02-26,28.6,28.6,26.95,27.95,27.85252327290544,2041,91,56847.0,665.0,32.58,1.65,-0.65,1614297600.0
2021-02-25,27.3,28.55,26.1,27.65,27.818876404494382,2225,127,61897.0,1217.0,54.7,2.45,0.35,1614211200.0
2021-02-24,26.25,28.55,26.25,26.95,27.37331701346389,2451,157,67092.0,534.0,21.79,2.3,0.7,1614124800.0
2021-02-23,26.75,27.75,26.65,26.75,27.13542116630669,4630,220,125637.0,690.0,14.9,1.1,0.0,1614038400.0
2021-02-22,27.5,27.65,26.8,27.1,26.934354485776804,457,22,12309.0,407.0,89.06,0.85,-0.4,1613952000.0
2021-02-19,27.3,28.85,27.3,27.8,28.15043604651163,1376,50,38735.0,401.0,29.14,1.55,0.5,1613692800.0
2021-02-18,29.55,29.55,27.0,28.0,27.72068636796949,2098,110,58158.0,934.0,44.52,2.55,-1.55,1613606400.0
2021-02-17,27.1,28.3,27.1,28.1,27.794843049327355,892,54,24793.0,325.0,36.43,1.2,1.0,1613520000.0
2021-02-16,26.5,28.35,26.5,27.6,27.37259923175416,781,49,21378.0,122.0,15.62,1.85,1.1,1613433600.0
2021-02-15,27.8,27.8,27.5,27.8,27.78715596330275,545,48,15144.0,458.0,84.04,0.3,0.0,1613347200.0
2021-02-12,27.5,28.45,27.5,27.85,27.81715210355988,618,38,17191.0,284.0,45.95,0.95,0.35,1613088000.0
2021-02-11,27.5,28.3,26.85,27.5,27.544130248500423,1167,45,32144.0,347.0,29.73,1.45,0.0,1613001600.0
2021-02-10,27.4,27.95,27.1,27.25,27.49146757679181,1758,62,48330.0,543.0,30.89,0.85,-0.15,1612915200.0
2021-02-09,28.05,28.85,26.85,28.0,27.65958351041224,2353,48,65083.0,1436.0,61.03,2.0,-0.05,1612828800.0
2021-02-05,26.9,29.3,26.8,28.0,27.796377875673027,2043,82,56788.0,210.0,10.28,2.5,1.1,1612483200.0
2021-02-04,27.35,27.4,27.35,27.35,27.36633663366337,101,4,2764.0,101.0,100.0,0.05,0.0,1612396800.0
2021-02-03,27.2,27.3,27.0,27.15,27.10487804878049,410,15,11113.0,410.0,100.0,0.3,-0.05,1612310400.0
2021-02-02,27.9,28.35,26.85,26.85,27.247021943573667,1595,37,43459.0,1201.0,75.3,1.5,-1.05,1612224000.0
2021-02-01,27.15,28.6,26.8,26.8,27.825062034739453,1612,72,44854.0,321.0,19.91,1.8,-0.35,1612137600.0
2021-01-29,27.8,27.8,27.6,27.75,27.76,100,7,2776.0,100.0,100.0,0.2,-0.05,1611878400.0
2021-01-28,27.5,28.4,26.7,27.7,27.495229835212488,2306,125,63404.0,613.0,26.58,1.7,0.2,1611792000.0
2021-01-27,27.85,28.75,27.2,27.3,27.683053040103488,1546,61,42798.0,1205.0,77.94,1.55,-0.55,1611705600.0
2021-01-22,29.0,29.35,27.9,29.35,28.33190883190884,2106,31,59667.0,1925.0,91.41,1.45,0.35,1611273600.0
2021-01-21,28.85,30.55,28.65,28.95,28.996101364522417,2052,30,59500.0,2013.0,98.1,1.9,0.1,1611187200.0
2021-01-20,28.4,29.0,28.4,29.0,28.92,200,13,5784.0,53.0,26.5,0.6,0.6,1611100800.0
2021-01-19,28.8,29.75,28.8,29.65,29.435818601076093,1301,42,38296.0,390.0,29.98,0.95,0.85,1611014400.0
2021-01-18,28.7,29.75,28.55,29.5,29.41062618595825,2635,85,77497.0,986.0,37.42,1.2,0.8,1610928000.0
2021-01-15,30.65,31.6,28.8,29.75,29.73408592035121,3189,116,94822.0,924.0,28.97,2.8,-0.9,1610668800.0
2021-01-14,29.4,30.9,29.1,29.2,29.72229639519359,749,60,22262.0,197.0,26.3,1.8,-0.2,1610582400.0
2021-01-13,28.2,31.0,28.2,29.5,29.8440057775638,2077,76,61986.0,933.0,44.92,2.8,1.3,1610496000.0
2021-01-12,30.4,30.4,27.85,29.65,28.979131886477465,3594,100,104151.0,1263.0,35.14,2.55,-0.75,1610409600.0
2021-01-11,29.7,30.65,28.9,29.25,29.72185970636216,1226,72,36439.0,797.0,65.01,1.75,-0.45,1610323200.0
2021-01-08,29.4,30.6,29.3,29.65,29.959964412811388,4496,139,134700.0,1823.0,40.55,1.3,0.25,1610064000.0
2021-01-07,28.05,30.85,28.05,30.0,29.817878028404344,3591,125,107076.0,666.0,18.55,2.8,1.95,1609977600.0
2021-01-06,29.7,30.1,28.5,29.85,29.77145479577788,2179,44,64872.0,2025.0,92.93,1.6,0.15,1609891200.0
2021-01-05,31.0,31.0,29.5,29.6,29.671875,320,13,9495.0,263.0,82.19,1.5,-1.4,1609804800.0
2021-01-04,29.2,31.4,29.2,30.95,30.965328467153284,548,8,16969.0,548.0,100.0,2.2,1.75,1609718400.0
2021-01-01,30.0,30.0,28.55,28.55,29.166666666666664,48,3,1400.0,48.0,100.0,1.45,-1.45,1609459200.0
