Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-22,8.66,8.66,8.66,8.66,8.66,100,1,866.0,100,100.0,0.0,0.0,1619049600.0
2021-02-23,8.25,8.25,8.25,8.25,8.25,4,1,33.0,4,100.0,0.0,0.0,1614038400.0
2021-02-12,8.25,8.25,8.25,8.25,8.242105263157894,95,1,783.0,95,100.0,0.0,0.0,1613088000.0
2021-02-11,8.25,8.25,8.25,8.25,8.244680851063828,94,2,775.0,94,100.0,0.0,0.0,1613001600.0
2021-02-10,8.25,8.25,8.25,8.25,8.0,1,1,8.0,1,100.0,0.0,0.0,1612915200.0
2021-01-21,8.25,8.25,8.25,8.25,8.247191011235955,89,2,734.0,89,100.0,0.0,0.0,1611187200.0
2021-01-19,8.25,8.25,8.25,8.25,8.0,1,1,8.0,1,100.0,0.0,0.0,1611014400.0
2021-01-12,8.3,8.3,8.3,8.3,8.0,1,1,8.0,1,100.0,0.0,0.0,1610409600.0
2020-11-03,8.35,8.35,8.35,8.35,8.34,50,1,417.0,50,100.0,0.0,0.0,1604361600.0
2020-09-23,8.0,8.0,8.0,8.0,8.0,7,1,56.0,7,100.0,0.0,0.0,1600819200.0
2020-09-21,8.0,8.0,8.0,8.0,8.0,6,1,48.0,6,100.0,0.0,0.0,1600646400.0
2020-09-17,8.0,8.0,8.0,8.0,8.0,22,2,176.0,22,100.0,0.0,0.0,1600300800.0
2020-07-16,8.0,8.0,8.0,8.0,8.0,1,1,8.0,1,100.0,0.0,0.0,1594857600.0
2020-06-19,8.0,8.0,8.0,8.0,8.0,50,1,400.0,50,100.0,0.0,0.0,1592524800.0
2020-06-16,8.25,8.25,8.25,8.25,8.25,48,1,396.0,48,100.0,0.0,0.0,1592265600.0
2020-06-08,8.6,8.6,8.6,8.6,8.6,1000,1,8600.0,1000,100.0,0.0,0.0,1591574400.0
2020-06-01,8.61,8.61,8.61,8.61,8.61,200,1,1722.0,200,100.0,0.0,0.0,1590969600.0
2020-05-28,8.61,8.61,8.61,8.61,8.61,5000,1,43050.0,5000,100.0,0.0,0.0,1590624000.0
2020-05-26,8.85,8.85,8.42,8.44,8.425872598968388,31601,17,266266.0,31601,100.0,0.43,-0.41,1590451200.0
2020-05-22,8.85,8.85,8.85,8.85,8.85,24900,8,220365.0,24900,100.0,0.0,0.0,1590105600.0
2020-03-31,9.03,9.03,9.03,9.03,9.03,100,1,903.0,100,100.0,0.0,0.0,1585612800.0
2020-03-24,9.45,9.45,9.03,9.03,9.07979695431472,39400,12,357744.0,39400,100.0,0.42,-0.42,1585008000.0
2020-03-23,9.5,9.5,9.5,9.5,9.5,2000,1,19000.0,2000,100.0,0.0,0.0,1584921600.0
2020-03-20,9.5,9.5,9.5,9.5,9.499946723494938,9385,5,89157.0,9385,100.0,0.0,0.0,1584662400.0
2020-03-19,9.5,10.0,9.4,9.43,9.462303422756706,21620,16,204575.0,21620,100.0,0.6,-0.07,1584576000.0
2020-03-18,9.5,9.65,9.5,9.65,9.591176470588238,17000,7,163050.0,17000,100.0,0.15,0.15,1584489600.0
2020-03-17,9.7,9.85,9.7,9.85,9.702254200007014,199583,13,1936405.0,199583,100.0,0.15,0.15,1584403200.0
2020-03-16,10.1,10.1,10.1,10.1,10.1,10200,3,103020.0,10200,100.0,0.0,0.0,1584316800.0
2020-03-11,10.55,10.6,10.55,10.6,10.599509803921569,10200,4,108115.0,10200,100.0,0.05,0.05,1583884800.0
2020-03-06,11.1,11.1,11.1,11.1,11.1,100,1,1110.0,100,100.0,0.0,0.0,1583452800.0
2020-03-03,11.5,11.5,11.5,11.5,11.5,600,8,6900.0,600,100.0,0.0,0.0,1583193600.0
2020-02-27,11.5,12.07,11.5,12.07,11.736842105263156,19,3,223.0,19,100.0,0.57,0.57,1582761600.0
2020-02-26,11.5,11.5,11.5,11.5,11.5,10,1,115.0,10,100.0,0.0,0.0,1582675200.0
2020-02-24,10.99,10.99,10.99,10.99,10.9,10,1,109.0,10,100.0,0.0,0.0,1582502400.0
2020-02-11,10.99,10.99,10.99,10.99,10.989898989898988,99,1,1088.0,99,100.0,0.0,0.0,1581379200.0
2020-02-10,11.0,11.0,10.99,10.99,10.99009900990099,101,2,1110.0,101,100.0,0.01,-0.01,1581292800.0
2020-02-01,11.0,11.0,11.0,11.0,11.0,100,1,1100.0,100,100.0,0.0,0.0,1580515200.0
2020-01-29,11.0,11.0,11.0,11.0,11.0,100,1,1100.0,100,100.0,0.0,0.0,1580256000.0
2020-01-28,11.0,11.0,11.0,11.0,11.0,200,3,2200.0,200,100.0,0.0,0.0,1580169600.0
2020-01-27,11.0,11.0,11.0,11.0,11.0,800,4,8800.0,800,100.0,0.0,0.0,1580083200.0
