Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,2.96,3.04,2.94,2.97,2.9788284683022868,1804168,1835,5374307.0,1102607,61.11,0.1,0.01,1620086400.0
2021-05-03,2.97,3.0,2.88,2.96,2.9380433987261543,2446293,2485,7187315.0,1416760,57.91,0.12,-0.01,1620000000.0
2021-04-30,2.98,3.1,2.97,3.03,3.030808885521074,1863391,2206,5647582.0,1086866,58.33,0.13,0.05,1619740800.0
2021-04-29,3.26,3.38,3.12,3.12,3.2445711262656487,2434621,2240,7899301.0,1389171,57.06,0.26,-0.14,1619654400.0
2021-04-28,3.2,3.3,3.16,3.28,3.227558722859703,3189814,2931,10295312.0,1866101,58.5,0.14,0.08,1619568000.0
2021-04-27,3.0,3.15,3.0,3.15,3.112153655545266,5113984,2654,15915504.0,2415246,47.23,0.15,0.15,1619481600.0
2021-04-26,2.91,3.01,2.9,3.0,2.9410610925597456,3319013,2620,9761420.0,1957253,58.97,0.11,0.09,1619395200.0
2021-04-23,2.74,2.87,2.72,2.87,2.829590660072311,2868716,1250,8117292.0,1310769,45.69,0.15,0.13,1619136000.0
2021-04-22,2.79,2.81,2.7,2.74,2.7289506588397168,4601878,3341,12558298.0,2417016,52.52,0.11,-0.05,1619049600.0
2021-04-20,2.82,2.96,2.8,2.83,2.882070053546588,1286730,943,3708446.0,593930,46.16,0.16,0.01,1618876800.0
2021-04-19,2.88,2.91,2.83,2.83,2.8458518707656384,2216686,1383,6308360.0,1095317,49.41,0.08,-0.05,1618790400.0
2021-04-16,2.91,3.01,2.9,2.97,2.9589118574846944,1601849,1740,4739730.0,709705,44.31,0.11,0.06,1618531200.0
2021-04-15,3.02,3.04,2.9,2.93,2.944725165948288,2431631,2431,7160485.0,1472754,60.57,0.14,-0.09,1618444800.0
2021-04-13,2.85,3.02,2.85,3.01,2.9480526138060386,2457910,2413,7246048.0,1508081,61.36,0.17,0.16,1618272000.0
2021-04-12,3.0,3.0,2.89,2.89,2.914581435944141,2635200,3862,7680505.0,1867240,70.86,0.11,-0.11,1618185600.0
2021-04-09,3.09,3.09,3.03,3.04,3.0463258202837307,465723,501,1418744.0,361937,77.72,0.06,-0.05,1617926400.0
2021-04-08,3.04,3.08,3.0,3.03,3.036126480200786,1492534,1281,4531522.0,948681,63.56,0.08,-0.01,1617840000.0
2021-04-07,3.04,3.05,3.0,3.03,3.02121969858933,846619,1175,2557822.0,555089,65.57,0.05,-0.01,1617753600.0
2021-04-06,3.07,3.09,3.02,3.05,3.051889258127486,1166966,1098,3561451.0,787694,67.5,0.07,-0.02,1617667200.0
2021-04-05,3.1,3.1,2.95,3.07,3.002005995264163,2464612,5300,7398780.0,1653534,67.09,0.15,-0.03,1617580800.0
2021-04-01,2.99,3.07,2.94,3.07,3.043366118402692,770371,1132,2344521.0,393604,51.09,0.13,0.08,1617235200.0
2021-03-31,3.06,3.06,2.87,2.93,2.9833165767790404,1048346,18394,3127548.0,745258,71.09,0.19,-0.13,1617148800.0
2021-03-30,3.07,3.11,3.0,3.02,3.030261189013704,1591874,1605,4823794.0,1121962,70.48,0.11,-0.05,1617062400.0
2021-03-26,3.06,3.09,3.0,3.07,3.0467189298135184,1415529,1535,4312719.0,825943,58.35,0.09,0.01,1616716800.0
2021-03-25,3.14,3.14,2.98,3.01,3.0443310973709674,1951136,2221,5939904.0,1284963,65.86,0.16,-0.13,1616630400.0
2021-03-24,3.12,3.15,3.01,3.12,3.101256192498231,1356480,799,4206792.0,960463,70.81,0.14,0.0,1616544000.0
2021-03-23,3.08,3.14,2.95,3.08,3.071825432210514,1783101,1694,5477375.0,926574,51.96,0.19,0.0,1616457600.0
2021-03-22,3.04,3.21,3.01,3.06,3.073132798786997,2384826,2842,7328887.0,1402954,58.83,0.2,0.02,1616371200.0
2021-03-19,3.16,3.22,3.06,3.16,3.112418814829806,1838082,2528,5720881.0,1317553,71.68,0.16,0.0,1616112000.0
2021-03-18,3.23,3.39,3.15,3.22,3.253849482922678,1372522,5703,4465980.0,738323,53.79,0.24,-0.01,1616025600.0
2021-03-17,3.45,3.53,3.27,3.27,3.3416900694597924,1542907,1639,5155917.0,1032951,66.95,0.26,-0.18,1615939200.0
2021-03-16,3.5,3.65,3.4,3.44,3.5326456335834338,2942951,2115,10396403.0,1796526,61.04,0.25,-0.06,1615852800.0
2021-03-15,3.68,3.71,3.48,3.53,3.521062360452285,1618622,2146,5699269.0,1098504,67.87,0.23,-0.15,1615766400.0
2021-03-12,3.7,3.74,3.6,3.65,3.685180115044561,2231657,22112,8224058.0,1359203,60.91,0.14,-0.05,1615507200.0
2021-03-10,3.55,3.62,3.44,3.6,3.5722350754185146,1484715,1573,5303751.0,1009848,68.02,0.18,0.05,1615334400.0
2021-03-09,3.43,3.7,3.4,3.45,3.4320786008761046,2148373,1536,7373385.0,1485982,69.17,0.3,0.02,1615248000.0
