Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-30,13.91,13.91,13.91,13.91,13.909395973154362,298,2,4145.0,298,100.0,0.0,0.0,1619740800.0
2021-04-29,13.25,13.25,13.25,13.25,13.24581005586592,179,2,2371.0,179,100.0,0.0,0.0,1619654400.0
2021-04-28,12.62,12.62,12.62,12.62,12.62,250,3,3155.0,250,100.0,0.0,0.0,1619568000.0
2021-04-27,12.05,12.05,12.02,12.02,12.02,100,5,1202.0,100,100.0,0.03,-0.03,1619481600.0
2021-04-23,12.02,12.02,12.02,12.02,12.0,1,1,12.0,1,100.0,0.0,0.0,1619136000.0
2021-04-22,12.35,12.47,12.35,12.47,12.43,600,3,7458.0,600,100.0,0.12,0.12,1619049600.0
2021-04-20,12.99,12.99,12.99,12.99,12.986666666666666,150,1,1948.0,150,100.0,0.0,0.0,1618876800.0
2021-04-19,13.58,13.58,13.58,13.58,13.578125,320,3,4345.0,320,100.0,0.0,0.0,1618790400.0
2021-04-16,12.94,12.94,12.94,12.94,12.94,500,1,6470.0,500,100.0,0.0,0.0,1618531200.0
2021-04-15,12.33,12.33,12.33,12.33,12.33,100,1,1233.0,100,100.0,0.0,0.0,1618444800.0
2021-04-13,12.96,12.96,11.75,11.75,12.758064516129032,62,3,791.0,52,83.87,1.21,-1.21,1618272000.0
2021-04-09,13.65,13.65,12.35,12.35,12.449541284403669,109,5,1357.0,100,91.74,1.3,-1.3,1617926400.0
2021-04-08,13.0,13.0,13.0,13.0,13.0,298,2,3874.0,298,100.0,0.0,0.0,1617840000.0
2021-04-07,13.5,13.5,13.5,13.5,13.5,2,1,27.0,2,100.0,0.0,0.0,1617753600.0
2021-04-06,14.21,14.21,14.21,14.21,14.166666666666666,12,2,170.0,12,100.0,0.0,0.0,1617667200.0
2021-03-26,14.95,14.95,14.95,14.95,14.942857142857141,105,3,1569.0,105,100.0,0.0,0.0,1616716800.0
2021-03-25,14.95,15.0,14.95,15.0,14.5,2,2,29.0,1,50.0,0.05,0.05,1616630400.0
2021-03-16,14.5,15.25,14.5,15.25,15.05997334517992,2251,6,33900.0,2250,99.96,0.75,0.75,1615852800.0
2021-03-15,13.9,15.3,13.9,15.25,14.179586563307492,774,5,10975.0,614,79.33,1.4,1.35,1615766400.0
2021-03-10,15.35,15.35,14.6,14.6,14.602251407129456,533,8,7783.0,533,100.0,0.75,-0.75,1615334400.0
2021-03-09,15.75,16.9,15.35,15.35,15.689655172413792,2958,9,46410.0,2956,99.93,1.55,-0.4,1615248000.0
2021-03-08,17.0,17.0,16.15,16.15,16.15068493150685,146,6,2358.0,146,100.0,0.85,-0.85,1615161600.0
2021-03-05,18.4,18.4,17.0,17.0,17.003968253968253,252,4,4285.0,252,100.0,1.4,-1.4,1614902400.0
2021-03-03,18.0,18.8,17.85,17.85,17.918552036199095,442,11,7920.0,441,99.77,0.95,-0.15,1614729600.0
2021-03-02,18.75,18.75,18.75,18.75,18.0,1,1,18.0,1,100.0,0.0,0.0,1614643200.0
2021-02-24,17.19,18.0,17.19,17.89,17.770491803278688,61,3,1084.0,50,81.97,0.81,0.7,1614124800.0
2021-02-23,17.19,17.19,17.19,17.19,17.18975552968568,859,2,14766.0,857,99.77,0.0,0.0,1614038400.0
2021-02-22,16.4,16.4,16.35,16.38,16.333333333333332,21,2,343.0,21,100.0,0.05,-0.02,1613952000.0
2021-02-18,16.55,17.25,16.39,17.17,16.97222222222222,36,4,611.0,36,100.0,0.86,0.62,1613606400.0
2021-02-17,17.25,17.25,15.63,17.25,15.65024630541872,203,4,3177.0,201,99.01,1.62,0.0,1613520000.0
2021-02-16,15.5,17.0,15.45,16.45,16.18847006651885,451,8,7301.0,289,64.08,1.55,0.95,1613433600.0
2021-02-15,16.36,16.36,16.25,16.25,16.35238095238095,105,2,1717.0,105,100.0,0.11,-0.11,1613347200.0
2021-02-12,15.59,15.59,15.59,15.59,15.580645161290322,93,7,1449.0,73,78.49,0.0,0.0,1613088000.0
2021-02-11,14.85,14.85,14.85,14.85,14.84,25,1,371.0,25,100.0,0.0,0.0,1613001600.0
2021-02-10,15.59,15.6,15.59,15.6,15.594117647058823,170,4,2651.0,150,88.24,0.01,0.01,1612915200.0
2021-02-09,14.15,15.62,14.15,15.62,15.615925058548008,427,10,6668.0,400,93.68,1.47,1.47,1612828800.0
2021-02-08,13.95,15.31,13.87,14.88,14.467532467532468,693,14,10026.0,447,64.5,1.44,0.93,1612742400.0
2021-02-05,14.59,14.59,14.59,14.59,14.0,1,1,14.0,1,100.0,0.0,0.0,1612483200.0
2021-02-04,12.64,13.9,12.64,13.9,12.683279742765272,622,5,7889.0,600,96.46,1.26,1.26,1612396800.0
2021-02-03,12.64,13.24,12.64,13.24,12.645833333333332,192,3,2428.0,190,98.96,0.6,0.6,1612310400.0
2021-02-02,12.03,12.61,11.56,12.61,11.94136291600634,631,6,7535.0,600,95.09,1.05,0.58,1612224000.0
2021-02-01,12.05,12.05,12.0,12.01,12.01,100,6,1201.0,100,100.0,0.05,-0.04,1612137600.0
2021-01-27,11.7,12.2,11.7,12.2,11.987234042553192,4700,5,56340.0,4700,100.0,0.5,0.5,1611705600.0
2021-01-25,12.3,12.3,12.3,12.3,12.283018867924527,53,1,651.0,53,100.0,0.0,0.0,1611532800.0
2021-01-22,12.45,12.65,12.45,12.65,12.547738693467336,199,2,2497.0,199,100.0,0.2,0.2,1611273600.0
2021-01-21,12.7,13.0,12.7,13.0,12.842857142857142,350,5,4495.0,350,100.0,0.3,0.3,1611187200.0
2021-01-20,13.4,13.4,13.05,13.05,13.2876254180602,299,4,3973.0,299,100.0,0.35,-0.35,1611100800.0
2021-01-19,13.65,15.05,13.65,13.65,14.359414437152951,1981,22,28446.0,1379,69.61,1.4,0.0,1611014400.0
2021-01-18,15.1,15.1,14.35,14.35,14.937254901960785,510,5,7618.0,510,100.0,0.75,-0.75,1610928000.0
2021-01-14,15.85,15.85,15.1,15.1,15.22185430463576,302,4,4597.0,302,100.0,0.75,-0.75,1610582400.0
2021-01-13,16.65,16.65,15.85,15.85,16.209090909090907,110,3,1783.0,110,100.0,0.8,-0.8,1610496000.0
2021-01-12,18.35,18.35,16.65,16.65,18.116631799163176,1912,10,34639.0,1900,99.37,1.7,-1.7,1610409600.0
2020-12-31,17.5,17.5,17.5,17.5,17.5,290,1,5075.0,290,100.0,0.0,0.0,1609372800.0
2020-12-30,17.55,17.55,17.55,17.55,17.5,16,1,280.0,16,100.0,0.0,0.0,1609286400.0
2020-12-29,17.7,17.7,17.65,17.65,17.642857142857142,28,2,494.0,27,96.43,0.05,-0.05,1609200000.0
2020-12-21,16.9,16.9,16.9,16.9,16.5,2,1,33.0,2,100.0,0.0,0.0,1608508800.0
2020-12-16,16.15,16.2,14.7,16.2,14.930434782608696,230,9,3434.0,194,84.35,1.5,0.05,1608076800.0
2020-12-15,15.55,15.55,14.15,15.45,14.841182123978856,4162,21,61769.0,3233,77.68,1.4,-0.1,1607990400.0
2020-12-14,14.2,14.9,13.5,14.85,13.66190476190476,210,7,2869.0,210,100.0,1.4,0.65,1607904000.0
2020-12-11,14.2,15.6,14.2,14.2,14.20506329113924,395,7,5611.0,395,100.0,1.4,0.0,1607644800.0
2020-12-10,14.9,14.9,14.9,14.9,14.894736842105264,57,4,849.0,57,100.0,0.0,0.0,1607558400.0
2020-12-09,15.65,15.65,15.65,15.65,15.636363636363637,11,2,172.0,11,100.0,0.0,0.0,1607472000.0
2020-12-07,16.45,16.45,16.45,16.45,16.333333333333332,6,4,98.0,3,50.0,0.0,0.0,1607299200.0
