Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-03,17.25,17.25,17.25,17.25,17.25,5000,1,86250.0,5000,100.0,0.0,0.0,1620000000.0
2021-04-29,15.75,15.75,15.75,15.75,15.75,10000,2,157500.0,10000,100.0,0.0,0.0,1619654400.0
2021-04-28,14.4,14.4,14.4,14.4,14.4,5000,1,72000.0,5000,100.0,0.0,0.0,1619568000.0
2021-03-25,13.2,13.2,13.2,13.2,13.2,5000,1,66000.0,5000,100.0,0.0,0.0,1616630400.0
2021-03-23,16.0,21.5,16.0,16.2,18.28,25000,3,457000.0,5000,20.0,5.5,0.2,1616457600.0
2021-03-12,20.0,20.0,20.0,20.0,20.0,5000,1,100000.0,5000,100.0,0.0,0.0,1615507200.0
2021-02-17,18.45,18.45,18.45,18.45,18.45,5000,1,92250.0,5000,100.0,0.0,0.0,1613520000.0
2021-02-02,15.45,15.45,15.45,15.45,15.45,5000,1,77250.0,5000,100.0,0.0,0.0,1612224000.0
2021-01-20,15.45,15.45,15.45,15.45,15.45,5000,1,77250.0,5000,100.0,0.0,0.0,1611100800.0
2021-01-11,17.1,17.1,17.1,17.1,17.1,5000,1,85500.0,5000,100.0,0.0,0.0,1610323200.0
2020-12-16,18.9,18.9,18.9,18.9,18.9,5000,1,94500.0,5000,100.0,0.0,0.0,1608076800.0
2020-12-14,20.6,20.6,20.6,20.6,20.6,5000,1,103000.0,5000,100.0,0.0,0.0,1607904000.0
2020-12-10,25.7,25.75,25.7,25.75,25.716666666666665,15000,3,385750.0,15000,100.0,0.05,0.05,1607558400.0
2020-11-18,32.1,32.1,32.1,32.1,32.1,5000,1,160500.0,5000,100.0,0.0,0.0,1605657600.0
2020-10-27,24.0,29.25,24.0,29.25,26.625,10000,2,266250.0,10000,100.0,5.25,5.25,1603756800.0
2020-10-05,24.15,26.65,24.15,26.65,25.4,10000,2,254000.0,10000,100.0,2.5,2.5,1601856000.0
2020-08-13,24.25,26.65,24.25,25.4,25.4125,20000,4,508250.0,20000,100.0,2.4,1.15,1597276800.0
2020-08-07,25.5,25.5,25.5,25.5,25.5,5000,1,127500.0,5000,100.0,0.0,0.0,1596758400.0
2020-08-06,24.5,24.5,24.5,24.5,24.5,5000,1,122500.0,5000,100.0,0.0,0.0,1596672000.0
2020-08-05,23.35,23.35,23.35,23.35,23.35,5000,1,116750.0,5000,100.0,0.0,0.0,1596585600.0
2020-08-03,22.7,22.7,22.7,22.7,22.7,5000,1,113500.0,5000,100.0,0.0,0.0,1596412800.0
2020-07-30,21.65,21.65,21.65,21.65,21.65,5000,1,108250.0,5000,100.0,0.0,0.0,1596067200.0
2020-07-29,20.65,20.65,20.65,20.65,20.65,5000,1,103250.0,5000,100.0,0.0,0.0,1595980800.0
2020-07-28,19.7,19.7,19.7,19.7,19.7,5000,1,98500.0,5000,100.0,0.0,0.0,1595894400.0
2020-07-27,18.8,18.8,18.8,18.8,18.8,5000,1,94000.0,5000,100.0,0.0,0.0,1595808000.0
2020-07-24,17.95,17.95,17.95,17.95,17.95,5000,1,89750.0,5000,100.0,0.0,0.0,1595548800.0
