Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,7.1,7.2,7.1,7.15,7.1,340,3,2414.0,340,100.0,0.1000000000000005,0.0500000000000007,1620086400.0
2021-05-03,6.87,6.87,6.87,6.87,6.867605633802817,355,3,2438.0,355,100.0,0.0,0.0,1620000000.0
2021-04-30,6.6,6.66,6.6,6.62,6.601221640488656,1146,7,7565.0,1146,100.0,0.06,0.02,1619740800.0
2021-04-29,6.16,6.35,5.75,6.35,6.171428571428571,875,9,5400.0,875,100.0,0.6,0.19,1619654400.0
2021-04-28,6.0,6.05,5.53,6.05,5.979403409090909,1408,11,8419.0,1408,100.0,0.52,0.05,1619568000.0
2021-04-27,5.72,5.77,5.72,5.77,5.746107784431137,835,6,4798.0,835,100.0,0.05,0.05,1619481600.0
2021-04-26,5.5,5.5,5.5,5.5,5.499222395023328,643,2,3536.0,643,100.0,0.0,0.0,1619395200.0
2021-04-23,5.33,5.33,5.33,5.33,5.33,100,1,533.0,100,100.0,0.0,0.0,1619136000.0
2021-04-22,5.08,5.08,5.08,5.08,5.079545454545455,352,2,1788.0,352,100.0,0.0,0.0,1619049600.0
2021-04-20,4.62,4.84,4.42,4.84,4.766203703703704,864,4,4118.0,864,100.0,0.42,0.22,1618876800.0
2021-04-19,4.61,4.61,4.61,4.61,4.595744680851064,47,2,216.0,47,100.0,0.0,0.0,1618790400.0
2021-04-16,4.61,4.61,4.61,4.61,4.0,1,1,4.0,1,100.0,0.0,0.0,1618531200.0
2021-04-09,4.61,4.61,4.61,4.61,4.61,100,1,461.0,100,100.0,0.0,0.0,1617926400.0
2021-04-08,4.66,4.66,4.66,4.66,4.659574468085106,47,1,219.0,47,100.0,0.0,0.0,1617840000.0
2021-04-06,4.66,4.66,4.66,4.66,4.658878504672897,214,2,997.0,214,100.0,0.0,0.0,1617667200.0
2021-03-31,4.86,4.86,4.85,4.85,4.854103343465046,329,4,1597.0,329,100.0,0.01,-0.01,1617148800.0
2021-03-30,4.9,4.91,4.9,4.9,4.9000757002271005,1321,5,6473.0,1321,100.0,0.01,0.0,1617062400.0
2021-03-26,4.9,4.91,4.9,4.9,4.901111111111112,900,7,4411.0,900,100.0,0.01,0.0,1616716800.0
2021-03-25,5.1,5.1,4.9,4.9,5.054,500,2,2527.0,500,100.0,0.2,-0.2,1616630400.0
2021-03-23,5.13,5.14,5.12,5.14,5.1312,625,6,3207.0,625,100.0,0.02,0.01,1616457600.0
2021-03-22,5.25,5.27,5.25,5.25,5.255,200,3,1051.0,200,100.0,0.02,0.0,1616371200.0
2021-03-19,5.23,5.23,5.23,5.23,5.228739002932551,341,2,1783.0,341,100.0,0.0,0.0,1616112000.0
2021-03-18,5.5,5.5,5.5,5.5,5.5,100,1,550.0,100,100.0,0.0,0.0,1616025600.0
2021-03-17,5.41,5.46,5.41,5.46,5.4225,400,3,2169.0,400,100.0,0.05,0.05,1615939200.0
2021-03-16,5.57,5.57,5.24,5.57,5.52186938286399,3338,11,18432.0,3338,100.0,0.33,0.0,1615852800.0
2021-03-15,5.55,5.82,5.3,5.31,5.321428571428571,2800,10,14900.0,2800,100.0,0.52,-0.24,1615766400.0
2021-03-10,5.54,5.55,5.54,5.55,5.543838862559242,844,3,4679.0,844,100.0,0.01,0.01,1615334400.0
2021-03-09,5.55,5.55,5.55,5.55,5.54,50,1,277.0,50,100.0,0.0,0.0,1615248000.0
2021-03-08,5.75,5.75,5.74,5.74,5.741666666666666,600,2,3445.0,600,100.0,0.01,-0.01,1615161600.0
2021-03-05,5.9,5.9,5.72,5.74,5.848527349228612,713,5,4170.0,713,100.0,0.18,-0.16,1614902400.0
2021-03-04,5.9,5.9,5.9,5.9,5.891304347826087,46,1,271.0,46,100.0,0.0,0.0,1614816000.0
2021-03-03,6.38,6.6,6.07,6.07,6.423756019261637,1246,5,8004.0,1246,100.0,0.53,-0.31,1614729600.0
2021-03-02,6.38,6.38,6.38,6.38,6.25,4,2,25.0,4,100.0,0.0,0.0,1614643200.0
2021-03-01,6.3,6.3,6.3,6.3,6.299856527977044,697,2,4391.0,697,100.0,0.0,0.0,1614556800.0
2021-02-26,5.75,6.0,5.7,6.0,5.855339805825243,1030,3,6031.0,1030,100.0,0.3,0.25,1614297600.0
2021-02-24,6.0,6.0,6.0,6.0,6.0,1,1,6.0,1,100.0,0.0,0.0,1614124800.0
2021-02-23,6.0,6.0,6.0,6.0,6.0,21,1,126.0,21,100.0,0.0,0.0,1614038400.0
2021-02-22,5.72,6.3,5.72,6.3,6.002811621368322,1067,5,6405.0,1067,100.0,0.58,0.58,1613952000.0
2021-02-18,5.9,6.3,5.72,6.0,6.051428571428572,2100,8,12708.0,2100,100.0,0.58,0.1,1613606400.0
2021-02-17,6.0,6.29,6.0,6.0,6.0,201,4,1206.0,201,100.0,0.29,0.0,1613520000.0
2021-02-15,6.3,6.3,6.3,6.3,6.298368298368298,429,1,2702.0,429,100.0,0.0,0.0,1613347200.0
2021-02-12,6.0,6.0,6.0,6.0,6.0,157,1,942.0,157,100.0,0.0,0.0,1613088000.0
2021-02-11,6.3,6.3,6.3,6.3,6.3,100,1,630.0,100,100.0,0.0,0.0,1613001600.0
2021-02-10,6.0,6.0,6.0,6.0,6.0,272,4,1632.0,272,100.0,0.0,0.0,1612915200.0
2021-02-09,6.3,6.3,5.9,6.3,6.285407725321888,1398,8,8787.0,1398,100.0,0.4,0.0,1612828800.0
2021-02-08,5.85,6.01,5.85,6.01,5.978,500,2,2989.0,500,100.0,0.16,0.16,1612742400.0
2021-02-05,6.0,6.3,5.9,6.0,5.930521091811414,403,6,2390.0,403,100.0,0.4,0.0,1612483200.0
2021-02-04,6.28,6.59,6.0,6.0,6.206095791001451,689,6,4276.0,689,100.0,0.59,-0.28,1612396800.0
2021-02-03,6.61,6.61,6.28,6.28,6.291105121293801,371,6,2334.0,371,100.0,0.33,-0.33,1612310400.0
2021-02-02,6.61,6.61,6.61,6.61,6.609565217391304,1150,5,7601.0,1150,100.0,0.0,0.0,1612224000.0
2021-02-01,6.3,6.3,6.3,6.3,6.2993421052631575,608,2,3830.0,608,100.0,0.0,0.0,1612137600.0
2021-01-29,6.3,6.61,6.0,6.0,6.081065759637188,1764,8,10727.0,1764,100.0,0.61,-0.3,1611878400.0
2021-01-28,6.3,6.3,6.3,6.3,6.296969696969697,165,4,1039.0,165,100.0,0.0,0.0,1611792000.0
2021-01-27,6.3,6.78,6.3,6.3,6.764868603042877,723,4,4891.0,723,100.0,0.48,0.0,1611705600.0
2021-01-22,6.46,6.46,6.46,6.46,6.457044673539519,291,5,1879.0,291,100.0,0.0,0.0,1611273600.0
2021-01-21,6.46,6.93,6.46,6.47,6.468253968253968,504,6,3260.0,504,100.0,0.47,0.01,1611187200.0
2021-01-20,6.53,6.6,6.53,6.6,6.579465541490857,711,5,4678.0,711,100.0,0.07,0.07,1611100800.0
2021-01-19,6.83,6.83,6.83,6.83,6.82843137254902,204,2,1393.0,204,100.0,0.0,0.0,1611014400.0
2021-01-18,6.49,7.17,6.49,6.51,6.6529366895499615,1311,9,8722.0,1311,100.0,0.68,0.02,1610928000.0
2021-01-15,6.51,6.83,6.4,6.83,6.495575221238938,226,5,1468.0,226,100.0,0.43,0.32,1610668800.0
2021-01-14,6.51,6.51,6.51,6.51,6.51,100,1,651.0,100,100.0,0.0,0.0,1610582400.0
2021-01-13,6.65,6.93,6.65,6.65,6.7885926844389335,1613,8,10950.0,1613,100.0,0.28,0.0,1610496000.0
2021-01-12,6.56,6.6,6.56,6.6,6.586666666666666,150,2,988.0,150,100.0,0.04,0.04,1610409600.0
2021-01-11,6.9,7.6,6.89,6.89,7.14440734557596,1198,13,8559.0,1198,100.0,0.71,-0.01,1610323200.0
2021-01-08,6.88,7.25,6.57,7.25,6.688944723618089,1990,24,13311.0,1990,100.0,0.68,0.37,1610064000.0
2021-01-07,6.9,7.56,6.9,6.91,7.4356060606060606,1056,4,7852.0,1056,100.0,0.66,0.01,1609977600.0
2021-01-06,6.9,7.2,6.9,7.2,6.916981132075472,530,4,3666.0,530,100.0,0.3,0.3,1609891200.0
2021-01-05,7.2,7.21,7.2,7.21,7.208469055374592,307,2,2213.0,307,100.0,0.01,0.01,1609804800.0
2021-01-04,7.56,8.34,7.56,7.57,7.768899815611555,1627,15,12640.0,1627,100.0,0.78,0.01,1609718400.0
2021-01-01,7.21,7.95,7.21,7.95,7.211538461538461,52,3,375.0,52,100.0,0.74,0.74,1609459200.0
2020-12-31,7.97,7.97,7.58,7.58,7.641660015961693,1253,12,9575.0,1253,100.0,0.39,-0.39,1609372800.0
2020-12-30,7.97,8.79,7.97,7.97,8.19664268585132,1251,8,10254.0,1251,100.0,0.82,0.0,1609286400.0
2020-12-29,8.38,8.38,8.38,8.38,8.38,100,1,838.0,100,100.0,0.0,0.0,1609200000.0
2020-12-28,7.6,7.99,7.23,7.99,7.34803337306317,839,10,6165.0,839,100.0,0.76,0.39,1609113600.0
2020-12-24,7.62,8.41,7.61,7.61,7.86736842105263,950,9,7474.0,950,100.0,0.8,-0.01,1608768000.0
2020-12-23,8.01,8.01,8.01,8.01,8.01,1000,9,8010.0,1000,100.0,0.0,0.0,1608681600.0
2020-12-22,8.43,8.43,7.63,8.43,7.75,20,4,155.0,20,100.0,0.8,0.0,1608595200.0
2020-12-21,8.03,8.03,7.63,8.03,7.630272952853598,3627,6,27675.0,3627,100.0,0.4,0.0,1608508800.0
2020-12-18,8.87,8.87,8.03,8.03,8.56360316494218,1643,20,14070.0,1643,100.0,0.84,-0.84,1608249600.0
2020-12-17,7.73,8.5,7.73,8.45,7.912470023980815,834,12,6599.0,834,100.0,0.77,0.72,1608163200.0
2020-12-16,8.9,8.9,8.13,8.13,8.128712871287128,101,2,821.0,101,100.0,0.77,-0.77,1608076800.0
2020-12-14,8.55,8.55,8.55,8.55,8.5,12,2,102.0,12,100.0,0.0,0.0,1607904000.0
2020-12-11,7.4,8.15,7.39,8.15,7.398692810457517,459,7,3396.0,459,100.0,0.76,0.75,1607644800.0
2020-12-10,7.77,7.77,7.77,7.77,7.75438596491228,57,1,442.0,57,100.0,0.0,0.0,1607558400.0
2020-12-09,8.84,8.84,8.17,8.17,8.53095975232198,646,8,5511.0,646,100.0,0.67,-0.67,1607472000.0
2020-12-08,8.2,8.59,8.2,8.59,8.263333333333334,300,4,2479.0,300,100.0,0.39,0.39,1607385600.0
2020-12-07,8.0,8.19,8.0,8.19,8.114551083591332,323,8,2621.0,323,100.0,0.19,0.19,1607299200.0
2020-12-04,7.43,7.8,7.43,7.8,7.792079207920792,101,2,787.0,101,100.0,0.37,0.37,1607040000.0
2020-12-03,6.8,7.43,6.74,7.43,7.018867924528301,530,10,3720.0,530,100.0,0.69,0.63,1606953600.0
2020-12-02,7.08,7.08,6.73,7.08,7.074540174249758,7231,8,51156.0,7231,100.0,0.35,0.0,1606867200.0
2020-12-01,6.42,7.08,6.42,7.07,6.821292775665399,263,4,1794.0,263,100.0,0.66,0.65,1606780800.0
2020-11-27,6.32,6.98,6.32,6.75,6.7609729826766,11141,13,75324.0,11141,100.0,0.66,0.43,1606435200.0
2020-11-26,6.37,6.65,6.37,6.65,6.4035087719298245,171,2,1095.0,171,100.0,0.28,0.28,1606348800.0
2020-11-24,6.36,6.36,6.35,6.36,6.355,400,4,2542.0,400,100.0,0.01,0.0,1606176000.0
2020-11-23,6.35,6.35,6.05,6.35,6.262108262108263,351,3,2198.0,351,100.0,0.3,0.0,1606089600.0
2020-11-20,5.77,6.05,5.77,6.05,6.029268292682927,410,7,2472.0,410,100.0,0.28,0.28,1605830400.0
2020-11-19,5.5,5.77,5.5,5.77,5.748837209302326,1290,8,7416.0,1290,100.0,0.27,0.27,1605744000.0
2020-11-17,5.77,5.77,5.5,5.5,5.5,1176,4,6468.0,1176,100.0,0.27,-0.27,1605571200.0
2020-11-11,5.67,5.67,5.5,5.5,5.51,100,2,551.0,100,100.0,0.17,-0.17,1605052800.0
2020-11-10,5.51,5.51,5.51,5.51,5.505555555555556,180,3,991.0,180,100.0,0.0,0.0,1604966400.0
2020-11-09,5.51,5.51,5.51,5.51,5.5095238095238095,210,3,1157.0,210,100.0,0.0,0.0,1604880000.0
2020-11-06,5.25,5.25,5.25,5.25,5.25,300,3,1575.0,300,100.0,0.0,0.0,1604620800.0
2020-11-05,5.22,5.25,5.22,5.25,5.24,150,3,786.0,150,100.0,0.03,0.03,1604534400.0
2020-11-04,5.22,5.22,5.22,5.22,5.217877094972067,179,1,934.0,179,100.0,0.0,0.0,1604448000.0
2020-11-03,5.22,5.22,5.22,5.22,5.22,50,1,261.0,50,100.0,0.0,0.0,1604361600.0
2020-11-02,4.98,5.22,4.98,5.22,5.202898550724638,69,2,359.0,69,100.0,0.24,0.24,1604275200.0
2020-10-29,4.98,4.98,4.98,4.98,4.98,400,1,1992.0,400,100.0,0.0,0.0,1603929600.0
2020-10-28,5.24,5.24,5.24,5.24,5.24,100,1,524.0,100,100.0,0.0,0.0,1603843200.0
2020-10-27,5.51,5.51,5.51,5.51,5.51,400,3,2204.0,400,100.0,0.0,0.0,1603756800.0
2020-10-20,5.79,5.79,5.51,5.79,5.696666666666666,300,3,1709.0,300,100.0,0.28,0.0,1603152000.0
2020-10-16,5.79,5.79,5.79,5.79,5.79,100,1,579.0,100,100.0,0.0,0.0,1602806400.0
2020-10-14,6.09,6.09,6.09,6.09,6.09,600,2,3654.0,600,100.0,0.0,0.0,1602633600.0
2020-10-13,5.8,5.8,5.8,5.8,5.8,100,1,580.0,100,100.0,0.0,0.0,1602547200.0
2020-10-12,6.1,6.1,6.1,6.1,6.076923076923077,39,3,237.0,39,100.0,0.0,0.0,1602460800.0
2020-10-07,5.81,5.81,5.81,5.81,5.8,50,1,290.0,50,100.0,0.0,0.0,1602028800.0
2020-10-06,6.1,6.1,6.1,6.1,6.1,600,3,3660.0,600,100.0,0.0,0.0,1601942400.0
2020-10-01,6.42,6.42,6.42,6.42,6.42,200,1,1284.0,200,100.0,0.0,0.0,1601510400.0
2020-09-30,6.75,6.75,6.75,6.75,6.75,100,1,675.0,100,100.0,0.0,0.0,1601424000.0
2020-09-28,7.1,7.1,7.1,7.1,7.0,5,1,35.0,5,100.0,0.0,0.0,1601251200.0
2020-09-25,6.77,6.77,6.77,6.77,6.75,12,1,81.0,12,100.0,0.0,0.0,1600992000.0
2020-09-22,6.77,6.77,6.77,6.77,6.75,40,2,270.0,40,100.0,0.0,0.0,1600732800.0
2020-09-21,7.12,7.12,7.12,7.12,7.0,5,1,35.0,5,100.0,0.0,0.0,1600646400.0
2020-09-11,6.79,6.79,6.79,6.79,6.79,700,3,4753.0,700,100.0,0.0,0.0,1599782400.0
2020-09-10,6.79,6.79,6.79,6.79,6.789855072463768,690,3,4685.0,690,100.0,0.0,0.0,1599696000.0
2020-09-09,6.79,6.79,6.79,6.79,6.79,1900,4,12901.0,1900,100.0,0.0,0.0,1599609600.0
2020-09-08,6.79,6.79,6.79,6.79,6.780952380952381,105,2,712.0,105,100.0,0.0,0.0,1599523200.0
2020-09-07,6.79,6.79,6.79,6.79,6.789411764705882,850,5,5771.0,850,100.0,0.0,0.0,1599436800.0
2020-09-03,6.79,6.79,6.79,6.79,6.79,100,1,679.0,100,100.0,0.0,0.0,1599091200.0
2020-08-28,6.79,6.79,6.79,6.79,6.79,300,2,2037.0,300,100.0,0.0,0.0,1598572800.0
