Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,37.0,37.0,37.0,37.0,37.0,186000,3,6882000.0,186000,100.0,0.0,0.0,1619136000.0
2021-03-24,37.0,37.0,37.0,37.0,37.0,14400,1,532800.0,14400,100.0,0.0,0.0,1616544000.0
2021-03-23,37.55,38.1,37.55,37.55,37.846698113207545,254400,23,9628200.0,250800,98.58,0.55,0.0,1616457600.0
2021-02-12,41.7,41.7,41.7,41.7,41.7,1200,1,50040.0,1200,100.0,0.0,0.0,1613088000.0
2021-02-11,52.1,52.1,52.1,52.1,52.1,1200,1,62520.0,1200,100.0,0.0,0.0,1613001600.0
2021-02-10,62.0,62.0,62.0,62.0,62.0,1200,1,74400.0,1200,100.0,0.0,0.0,1612915200.0
2021-01-13,70.0,70.0,70.0,70.0,70.0,877200,4,61404000.0,877200,100.0,0.0,0.0,1610496000.0
2020-12-14,70.0,70.0,70.0,70.0,70.0,1200,1,84000.0,1200,100.0,0.0,0.0,1607904000.0
2020-10-08,70.0,70.0,70.0,70.0,70.0,1476000,2,103320000.0,1476000,100.0,0.0,0.0,1602115200.0
2020-10-06,160.0,160.0,140.5,140.5,150.25,1200,2,180300.0,1200,100.0,19.5,-19.5,1601942400.0
2020-09-23,160.0,160.0,160.0,160.0,160.0,499800,3,79968000.0,499800,100.0,0.0,0.0,1600819200.0
2020-08-28,139.5,141.0,139.5,141.0,140.4375,38400,8,5392800.0,38400,100.0,1.5,1.5,1598572800.0
2020-08-27,123.0,123.5,123.0,123.25,123.25,38400,16,4732800.0,38400,100.0,0.5,0.25,1598486400.0
2020-08-17,129.0,129.0,129.0,129.0,129.0,5400,1,696600.0,5400,100.0,0.0,0.0,1597622400.0
2020-08-11,129.0,129.0,129.0,129.0,129.0,54600,1,7043400.0,54600,100.0,0.0,0.0,1597104000.0
2020-08-07,150.0,150.0,131.0,131.0,140.5,1200,2,168600.0,1200,100.0,19.0,-19.0,1596758400.0
2020-08-06,142.0,142.0,142.0,142.0,142.0,57000,1,8094000.0,57000,100.0,0.0,0.0,1596672000.0
2020-08-04,148.8,148.8,148.8,148.8,148.8,50400,1,7499520.0,50400,100.0,0.0,0.0,1596499200.0
2020-07-31,151.0,152.0,151.0,152.0,151.2396694214876,145200,3,21960000.0,145200,100.0,1.0,1.0,1596153600.0
2020-07-30,148.0,155.0,140.0,147.5,147.7924528301887,95400,3,14099400.0,75600,79.25,15.0,-0.5,1596067200.0
2020-07-29,154.0,154.0,154.0,154.0,154.0,87600,5,13490400.0,87600,100.0,0.0,0.0,1595980800.0
2020-07-28,151.0,154.0,151.0,154.0,153.1897810218978,82200,4,12592200.0,82200,100.0,3.0,3.0,1595894400.0
2020-07-27,140.0,140.0,140.0,140.0,140.0,36000,2,5040000.0,36000,100.0,0.0,0.0,1595808000.0
2020-06-29,152.0,152.0,152.0,152.0,152.0,28800,3,4377600.0,28800,100.0,0.0,0.0,1593388800.0
2020-04-17,146.0,146.0,146.0,146.0,146.0,10200,1,1489200.0,10200,100.0,0.0,0.0,1587081600.0
2020-04-07,140.0,140.0,140.0,140.0,140.0,36000,1,5040000.0,36000,100.0,0.0,0.0,1586217600.0
2020-04-03,150.0,150.0,150.0,150.0,150.0,10200,1,1530000.0,10200,100.0,0.0,0.0,1585872000.0
2020-03-31,150.0,150.0,150.0,150.0,150.0,10200,1,1530000.0,10200,100.0,0.0,0.0,1585612800.0
2020-03-27,148.0,149.0,148.0,149.0,148.132,150000,5,22219800.0,150000,100.0,1.0,1.0,1585267200.0
2020-03-26,148.0,148.0,148.0,148.0,148.0,109200,4,16161600.0,109200,100.0,0.0,0.0,1585180800.0
2020-03-25,148.0,148.0,148.0,148.0,148.0,13200,1,1953600.0,13200,100.0,0.0,0.0,1585094400.0
2020-03-24,148.5,148.5,148.0,148.0,148.04745762711863,177000,4,26204400.0,177000,100.0,0.5,-0.5,1585008000.0
2020-03-23,148.0,148.0,148.0,148.0,148.0,79800,2,11810400.0,79800,100.0,0.0,0.0,1584921600.0
2020-03-20,149.0,149.0,149.0,149.0,149.0,49800,1,7420200.0,49800,100.0,0.0,0.0,1584662400.0
2020-03-18,148.5,148.5,148.5,148.5,148.5,49800,2,7395300.0,49800,100.0,0.0,0.0,1584489600.0
2020-03-16,148.5,148.5,148.5,148.5,148.5,49800,1,7395300.0,49800,100.0,0.0,0.0,1584316800.0
2020-03-13,148.5,148.5,148.5,148.5,148.5,49800,1,7395300.0,49800,100.0,0.0,0.0,1584057600.0
2020-03-09,171.0,171.0,171.0,171.0,171.0,600,1,102600.0,600,100.0,0.0,0.0,1583712000.0
2020-03-03,174.0,194.0,164.0,194.0,186.54285714285717,42000,7,7834800.0,42000,100.0,30.0,20.0,1583193600.0
2020-02-28,180.0,180.0,174.0,174.0,176.56043956043956,54600,15,9640200.0,54600,100.0,6.0,-6.0,1582848000.0
2020-02-26,191.0,195.0,191.0,195.0,192.83953488372092,51600,5,9950520.0,51600,100.0,4.0,4.0,1582675200.0
2020-02-25,174.0,174.0,174.0,174.0,174.0,600,1,104400.0,600,100.0,0.0,0.0,1582588800.0
2020-02-20,195.5,195.5,195.5,195.5,195.5,25200,2,4926600.0,25200,100.0,0.0,0.0,1582156800.0
2020-02-14,195.5,195.5,195.5,195.5,195.5,25200,1,4926600.0,25200,100.0,0.0,0.0,1581638400.0
2020-01-29,195.0,195.5,195.0,195.5,195.4081632653061,117600,5,22980000.0,117600,100.0,0.5,0.5,1580256000.0
