Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-20,11.55,11.55,11.55,11.55,11.523809523809524,21,1,242.0,21,100.0,0.0,0.0,1618876800.0
2021-03-19,11.0,11.0,11.0,11.0,11.0,20,1,220.0,20,100.0,0.0,0.0,1616112000.0
2021-03-01,11.02,11.02,11.02,11.02,11.0,2,1,22.0,2,100.0,0.0,0.0,1614556800.0
2021-02-04,10.5,10.5,10.5,10.5,10.5,508,2,5334.0,508,100.0,0.0,0.0,1612396800.0
2021-02-03,10.0,10.0,10.0,10.0,10.0,2300,1,23000.0,2300,100.0,0.0,0.0,1612310400.0
2021-02-02,9.95,9.95,9.95,9.95,9.949866666666665,3750,2,37312.0,3750,100.0,0.0,0.0,1612224000.0
2021-02-01,10.0,10.0,10.0,10.0,10.0,2010,3,20100.0,2010,100.0,0.0,0.0,1612137600.0
2021-01-29,10.0,10.0,10.0,10.0,10.0,3200,3,32000.0,3200,100.0,0.0,0.0,1611878400.0
2021-01-28,10.47,10.47,9.5,9.97,9.969696969696969,5544,5,55272.0,5544,100.0,0.97,-0.5,1611792000.0
2021-01-27,10.97,10.97,9.95,9.98,9.980985830204675,8257,6,82413.0,8257,100.0,1.02,-0.99,1611705600.0
2021-01-25,10.45,10.45,10.45,10.45,10.0,1,1,10.0,1,100.0,0.0,0.0,1611532800.0
2021-01-22,9.95,9.98,9.95,9.96,9.957468962755305,74910,12,745914.0,74910,100.0,0.03,0.01,1611273600.0
2021-01-21,10.0,10.0,10.0,10.0,10.0,23000,5,230000.0,23000,100.0,0.0,0.0,1611187200.0
2021-01-20,10.0,10.5,9.99,10.5,9.990806409246124,3807,5,38035.0,3807,100.0,0.51,0.5,1611100800.0
2021-01-19,10.0,10.0,9.95,10.0,9.977313167259785,56200,9,560725.0,56200,100.0,0.05,0.0,1611014400.0
2021-01-18,9.99,10.0,9.98,9.98,9.99,44800,3,447552.0,44800,100.0,0.02,-0.01,1610928000.0
2021-01-15,10.02,10.04,9.94,10.0,9.98703832752613,86100,16,859884.0,86100,100.0,0.1,-0.02,1610668800.0
2021-01-14,9.96,10.03,9.94,9.94,9.982420382165603,54950,12,548534.0,54950,100.0,0.09,-0.02,1610582400.0
2021-01-13,10.02,10.51,9.96,10.04,10.014327266683289,60165,12,602512.0,60165,100.0,0.55,0.02,1610496000.0
2021-01-12,9.98,10.03,9.98,10.01,9.99645390070922,28200,3,281900.0,28200,100.0,0.05,0.03,1610409600.0
2021-01-11,10.03,10.44,9.95,9.96,9.986082685223087,31759,9,317148.0,31759,100.0,0.49,-0.07,1610323200.0
2021-01-08,10.04,10.04,9.95,9.95,10.0240790842872,48050,5,481657.0,48050,100.0,0.09,-0.09,1610064000.0
2021-01-07,9.96,9.96,9.94,9.96,9.95334085778781,44300,3,440933.0,44300,100.0,0.02,0.0,1609977600.0
2021-01-06,10.04,10.4,9.96,9.96,9.987062866383667,54417,13,543466.0,54417,100.0,0.44,-0.08,1609891200.0
2021-01-05,10.01,10.03,9.96,9.96,9.992162162162161,44400,4,443652.0,44400,100.0,0.07,-0.05,1609804800.0
2021-01-04,10.02,10.02,9.94,9.94,9.978853712503852,107111,21,1068845.0,107111,100.0,0.08,-0.08,1609718400.0
2020-12-31,9.94,9.95,9.94,9.94,9.940606927025796,15389,7,152976.0,15389,100.0,0.01,0.0,1609372800.0
2020-12-30,10.02,10.02,9.93,9.93,9.962655350106093,82475,19,821670.0,82475,100.0,0.09,-0.09,1609286400.0
2020-12-29,10.01,10.04,9.99,10.04,10.012914285714285,35000,7,350452.0,35000,100.0,0.05,0.03,1609200000.0
2020-12-28,10.4,10.4,9.98,10.0,9.997342857142856,70000,17,699814.0,70000,100.0,0.42,-0.4,1609113600.0
2020-12-24,10.01,10.01,9.94,9.94,9.978566666666666,30000,10,299357.0,30000,100.0,0.07,-0.07,1608768000.0
2020-12-23,10.01,10.04,9.94,9.98,10.007066666666667,30000,8,300212.0,30000,100.0,0.1,-0.03,1608681600.0
2020-12-22,10.01,10.04,9.94,9.98,9.986429780033841,59100,14,590198.0,59100,100.0,0.1,-0.03,1608595200.0
2020-12-21,10.04,10.04,9.95,9.95,9.98666928053323,51010,17,509420.0,51010,100.0,0.09,-0.09,1608508800.0
2020-12-18,10.04,10.04,9.95,10.01,9.99912357581069,57050,24,570450.0,57050,100.0,0.09,-0.03,1608249600.0
2020-12-17,10.04,10.04,9.95,9.95,9.993321299638989,55400,23,553630.0,55400,100.0,0.09,-0.09,1608163200.0
2020-12-16,10.04,10.04,9.94,9.94,9.986500816347139,59411,22,593308.0,59411,100.0,0.1,-0.1,1608076800.0
2020-12-15,10.04,10.04,9.94,9.97,9.995027777777777,72000,27,719642.0,72000,100.0,0.1,-0.07,1607990400.0
2020-12-14,9.98,10.04,9.95,9.98,9.99361299052774,73900,26,738528.0,73900,100.0,0.09,0.0,1607904000.0
2020-12-11,10.05,10.05,9.97,10.0,10.001676164934628,74575,8,745875.0,74575,100.0,0.08,-0.05,1607644800.0
2020-12-10,10.05,10.05,10.04,10.05,10.046681514476614,44900,5,451096.0,44900,100.0,0.01,0.0,1607558400.0
2020-12-09,10.0,10.0,10.0,10.0,10.0,53150,19,531500.0,53150,100.0,0.0,0.0,1607472000.0
2020-12-08,10.0,10.0,9.95,9.95,9.983811876970266,58685,10,585900.0,58685,100.0,0.05,-0.05,1607385600.0
2020-12-07,10.0,10.0,9.95,9.95,9.98107109879963,54150,14,540475.0,54150,100.0,0.05,-0.05,1607299200.0
2020-12-04,10.05,10.05,10.0,10.04,10.041132743362832,28250,7,283662.0,28250,100.0,0.05,-0.01,1607040000.0
2020-12-03,9.95,9.95,9.95,9.95,9.95,27000,19,268650.0,27000,100.0,0.0,0.0,1606953600.0
