Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,14.95,14.95,14.95,14.95,14.95,100,1,1495.0,100.0,100.0,0.0,0.0,1620086400.0
2021-05-03,14.25,14.25,14.25,14.25,14.249651324965132,717,5,10217.0,717.0,100.0,0.0,0.0,1620000000.0
2021-04-30,15.0,15.0,15.0,15.0,15.0,500,1,7500.0,500.0,100.0,0.0,0.0,1619740800.0
2021-04-29,14.45,14.45,14.45,14.45,14.4,5,2,72.0,5.0,100.0,0.0,0.0,1619654400.0
2021-04-28,15.2,15.2,15.2,15.2,15.199580932425352,1909,10,29016.0,1909.0,100.0,0.0,0.0,1619568000.0
2021-04-26,15.95,15.95,15.95,15.95,15.666666666666666,3,1,47.0,3.0,100.0,0.0,0.0,1619395200.0
2021-04-23,14.9,16.0,14.9,15.95,15.563636363636364,825,6,12840.0,800.0,96.97,1.1,1.05,1619136000.0
2021-04-22,15.6,15.6,15.6,15.6,15.599759615384617,832,5,12979.0,832.0,100.0,0.0,0.0,1619049600.0
2021-04-20,16.2,16.2,16.2,16.2,16.0,2,2,32.0,2.0,100.0,0.0,0.0,1618876800.0
2021-04-16,15.45,16.5,15.45,16.5,16.475409836065573,61,3,1005.0,61.0,100.0,1.05,1.05,1618531200.0
2021-04-12,16.3,16.3,16.25,16.25,16.25,4,2,65.0,4.0,100.0,0.05,-0.05,1618185600.0
2021-04-09,16.95,16.95,15.5,15.6,15.544617563739376,1412,8,21949.0,1410.0,99.86,1.45,-1.35,1617926400.0
2021-04-08,16.5,16.5,16.15,16.15,16.198529411764703,136,3,2203.0,136.0,100.0,0.35,-0.35,1617840000.0
2021-04-07,17.0,17.0,17.0,17.0,17.0,21,2,357.0,21.0,100.0,0.0,0.0,1617753600.0
2021-04-06,17.7,17.7,17.7,17.7,17.0,1,1,17.0,1.0,100.0,0.0,0.0,1617667200.0
2021-04-05,17.7,17.7,17.7,17.7,17.0,1,1,17.0,1.0,100.0,0.0,0.0,1617580800.0
2021-04-01,16.9,16.9,16.9,16.9,16.89864864864865,444,6,7503.0,444.0,100.0,0.0,0.0,1617235200.0
2021-03-31,16.9,17.75,16.9,17.75,16.91238670694864,1655,2,27990.0,1655.0,100.0,0.85,0.85,1617148800.0
2021-03-25,17.75,17.75,17.75,17.75,17.73076923076923,26,2,461.0,26.0,100.0,0.0,0.0,1616630400.0
2021-03-24,16.95,16.95,16.95,16.95,16.949189189189187,925,2,15678.0,925.0,100.0,0.0,0.0,1616544000.0
2021-03-18,17.0,17.0,17.0,17.0,17.0,8,2,136.0,8.0,100.0,0.0,0.0,1616025600.0
2021-03-12,16.1,16.9,15.3,16.9,16.017394822006473,2472,27,39595.0,2172.0,87.86,1.6,0.8,1615507200.0
2021-03-10,16.25,16.25,15.3,16.1,15.53859649122807,570,8,8857.0,566.0,99.3,0.95,-0.15,1615334400.0
2021-03-09,15.5,15.5,15.5,15.5,15.497041420118345,169,4,2619.0,169.0,100.0,0.0,0.0,1615248000.0
2021-03-08,18.0,18.0,16.3,16.3,16.618122977346278,309,6,5135.0,259.0,83.82,1.7,-1.7,1615161600.0
2021-03-05,18.05,18.05,17.15,17.15,17.909090909090907,11,2,197.0,11.0,100.0,0.9,-0.9,1614902400.0
2021-03-04,18.95,18.95,18.05,18.05,18.498402555910545,313,7,5790.0,162.0,51.76,0.9,-0.9,1614816000.0
2021-03-03,19.0,19.0,19.0,19.0,19.0,100,1,1900.0,100.0,100.0,0.0,0.0,1614729600.0
2021-03-02,19.9,19.9,19.9,19.9,19.894039735099337,151,1,3004.0,151.0,100.0,0.0,0.0,1614643200.0
2021-02-26,19.99,19.99,19.93,19.93,19.916666666666664,12,3,239.0,11.0,91.67,0.06,-0.06,1614297600.0
2021-02-25,19.92,19.92,19.5,19.5,19.526315789473685,19,3,371.0,19.0,100.0,0.42,-0.42,1614211200.0
2021-02-23,18.99,18.99,18.99,18.99,18.75,4,1,75.0,4.0,100.0,0.0,0.0,1614038400.0
2021-02-22,19.19,19.19,18.99,18.99,19.045977011494248,87,5,1657.0,84.0,96.55,0.2,-0.2,1613952000.0
2021-02-18,18.38,18.38,18.38,18.38,18.37878787878788,66,1,1213.0,66.0,100.0,0.0,0.0,1613606400.0
2021-02-15,18.45,18.45,18.4,18.4,18.40348101265823,632,8,11631.0,632.0,100.0,0.05,-0.05,1613347200.0
2021-02-12,18.5,18.5,18.35,18.35,18.4,5,2,92.0,5.0,100.0,0.15,-0.15,1613088000.0
2021-02-11,18.45,18.45,17.69,17.69,18.06060606060606,231,10,4172.0,231.0,100.0,0.76,-0.76,1613001600.0
2021-02-10,17.5,17.65,17.5,17.65,17.570945945945944,296,8,5201.0,296.0,100.0,0.15,0.15,1612915200.0
2021-02-09,16.9,16.9,16.85,16.85,16.850785340314136,382,5,6437.0,382.0,100.0,0.05,-0.05,1612828800.0
2021-02-08,15.38,16.1,15.38,16.1,15.490861618798956,383,8,5933.0,383.0,100.0,0.72,0.72,1612742400.0
2021-02-05,15.38,15.38,14.02,15.38,14.923076923076923,299,5,4462.0,200.0,66.89,1.36,0.0,1612483200.0
2021-02-04,14.65,14.65,14.65,14.65,14.5,2,1,29.0,2.0,100.0,0.0,0.0,1612396800.0
2021-02-03,13.5,13.96,13.5,13.96,13.546511627906977,86,5,1165.0,86.0,100.0,0.46,0.46,1612310400.0
