Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-06,12.45,12.45,12.45,12.45,12.45,1720.0,9.0,21414.0,1720.0,100.0,0.0,0.0,1620259200.0
2021-05-05,13.7,13.7,12.45,12.45,12.45045795170691,1201.0,10.0,14953.0,1201.0,100.0,1.25,-1.25,1620153000.0
2021-05-04,13.05,14.33,13.05,13.05,13.119475655430712,5340.0,8.0,70058.0,5340.0,100.0,1.28,0.0,1620086400.0
2021-05-03,13.0,13.65,13.0,13.65,13.638461538461538,130.0,2.0,1773.0,130.0,100.0,0.65,0.65,1620000000.0
2021-04-30,13.0,13.0,13.0,13.0,13.0,1000.0,5.0,13000.0,1000.0,100.0,0.0,0.0,1619740800.0
2021-04-29,13.4,14.8,13.4,13.6,14.127272727272729,220.0,6.0,3108.0,220.0,100.0,1.4,0.2,1619654400.0
2021-04-28,14.1,14.1,14.1,14.1,14.08,25.0,1.0,352.0,25.0,100.0,0.0,0.0,1619568000.0
2021-04-27,14.45,14.45,14.45,14.45,14.45,20.0,1.0,289.0,20.0,100.0,0.0,0.0,1619481600.0
2021-04-26,15.1,15.1,15.1,15.1,15.096969696969696,165.0,2.0,2491.0,165.0,100.0,0.0,0.0,1619395200.0
2021-04-23,15.85,15.85,15.85,15.85,15.849815043156596,4055.0,19.0,64271.0,4055.0,100.0,0.0,0.0,1619136000.0
2021-04-22,16.65,16.65,16.65,16.65,16.633333333333333,30.0,1.0,499.0,30.0,100.0,0.0,0.0,1619049600.0
2021-04-20,17.45,17.95,17.45,17.45,17.48794599807136,1037.0,7.0,18135.0,1037.0,100.0,0.5,0.0,1618876800.0
2021-04-19,17.45,17.6,17.45,17.6,17.476268412438625,611.0,7.0,10678.0,521.0,85.27,0.15,0.15,1618790400.0
2021-04-16,17.05,17.45,16.75,16.85,16.806938159879337,663.0,5.0,11143.0,650.0,98.04,0.7,-0.2,1618531200.0
2021-04-15,17.0,17.05,16.85,17.05,16.9660777385159,1415.0,10.0,24007.0,1415.0,100.0,0.2,0.05,1618444800.0
2021-04-13,17.3,17.35,17.25,17.35,17.315092165898616,1736.0,7.0,30059.0,1736.0,100.0,0.1,0.05,1618272000.0
2021-04-12,18.5,18.5,17.6,17.6,17.60474777448071,1685.0,9.0,29664.0,1685.0,100.0,0.9,-0.9,1618185600.0
2021-04-09,17.55,17.8,17.55,17.8,17.674085365853657,3280.0,12.0,57971.0,3280.0,100.0,0.25,0.25,1617926400.0
2021-04-08,17.6,17.85,17.6,17.85,17.70728417266187,2224.0,6.0,39381.0,2224.0,100.0,0.25,0.25,1617840000.0
