Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-01-18,7.46,7.46,7.46,7.46,7.46,1000,1,7460.0,1000.0,100.0,0.0,0.0,1610928000.0
2020-12-22,7.46,7.46,7.46,7.46,7.0,1,1,7.0,1.0,100.0,0.0,0.0,1608595200.0
2020-10-06,7.46,7.46,7.46,7.46,7.458333333333333,48,2,358.0,48.0,100.0,0.0,0.0,1601942400.0
2020-09-17,7.11,7.11,7.11,7.11,7.106382978723404,47,1,334.0,47.0,100.0,0.0,0.0,1600300800.0
2020-08-18,7.11,7.11,7.11,7.11,7.104166666666666,48,1,341.0,48.0,100.0,0.0,0.0,1597708800.0
2020-07-27,6.78,6.78,6.78,6.78,6.0,1,1,6.0,1.0,100.0,0.0,0.0,1595808000.0
2020-07-15,6.78,6.78,6.78,6.78,6.777777777777778,72,2,488.0,72.0,100.0,0.0,0.0,1594771200.0
2020-07-13,7.13,7.13,7.13,7.13,7.125,48,1,342.0,48.0,100.0,0.0,0.0,1594598400.0
2020-06-15,7.5,7.5,7.5,7.5,7.0,1,1,7.0,1.0,100.0,0.0,0.0,1592179200.0
2020-06-11,7.5,7.5,7.5,7.5,7.5,2,1,15.0,2.0,100.0,0.0,0.0,1591833600.0
2020-05-04,7.5,7.5,7.5,7.5,7.5,50,2,375.0,50.0,100.0,0.0,0.0,1588550400.0
2020-01-06,7.5,7.5,7.5,7.5,7.0,1,1,7.0,1.0,100.0,0.0,0.0,1578268800.0
2019-12-31,7.75,7.75,7.75,7.75,7.742857142857142,35,3,271.0,35.0,100.0,0.0,0.0,1577750400.0
2019-10-23,8.12,8.12,8.12,8.12,8.0,1,1,8.0,1.0,100.0,0.0,0.0,1571788800.0
2019-07-31,8.12,8.12,8.12,8.12,8.12,100,1,812.0,100.0,100.0,0.0,0.0,1564531200.0
2019-07-29,7.74,7.74,7.74,7.74,7.74,100,1,774.0,100.0,100.0,0.0,0.0,1564358400.0
2019-07-25,7.38,7.38,7.38,7.38,7.38,100,1,738.0,100.0,100.0,0.0,0.0,1564012800.0
2019-07-24,7.03,7.03,7.03,7.03,7.03,100,1,703.0,100.0,100.0,0.0,0.0,1563926400.0
2019-07-23,6.7,6.7,6.7,6.7,6.7,100,1,670.0,100.0,100.0,0.0,0.0,1563840000.0
2019-07-22,6.39,6.39,6.39,6.39,6.388392857142857,224,2,1431.0,224.0,100.0,0.0,0.0,1563753600.0
2019-03-25,6.09,6.09,6.09,6.09,6.0,10,1,60.0,10.0,100.0,0.0,0.0,1553472000.0
2019-01-15,6.09,6.09,6.09,6.09,6.0,10,1,60.0,10.0,100.0,0.0,0.0,1547510400.0
2019-01-02,6.09,6.09,6.09,6.09,6.09,100,1,609.0,100.0,100.0,0.0,0.0,1546387200.0
2018-11-30,5.8,5.8,5.8,5.8,5.8,100,1,580.0,100.0,100.0,0.0,0.0,1543536000.0
2018-10-23,5.55,5.55,5.55,5.55,5.54,50,1,277.0,50.0,100.0,0.0,0.0,1540252800.0
2018-02-26,5.29,5.29,5.29,5.29,5.25,20,1,105.0,20.0,100.0,0.0,0.0,1519603200.0
2018-02-20,5.29,5.29,5.29,5.29,5.29,100,1,529.0,100.0,100.0,0.0,0.0,1519084800.0
2018-02-15,5.04,5.04,5.04,5.04,5.04,100,1,504.0,100.0,100.0,0.0,0.0,1518652800.0
2018-02-12,5.04,5.04,5.04,5.04,5.04,100,1,504.0,100.0,100.0,0.0,0.0,1518393600.0
