Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-04,2.01,2.1,2.0,2.04,2.0205322321633403,8718,19,17615.0,8309.0,95.31,0.1,0.0300000000000002,1620086400.0
2021-05-03,1.99,2.1,1.99,2.07,2.05008441193022,5331,12,10929.0,4324.0,81.11,0.11,0.08,1620000000.0
2021-04-30,2.11,2.11,2.06,2.06,2.060034730836021,4031,8,8304.0,4031.0,100.0,0.05,-0.05,1619740800.0
2021-04-29,2.11,2.11,2.0,2.1,2.05352798053528,4110,15,8440.0,4109.0,99.98,0.11,-0.01,1619654400.0
2021-04-28,2.05,2.06,2.04,2.04,2.051696284329564,619,8,1270.0,614.0,99.19,0.02,-0.01,1619568000.0
2021-04-27,1.94,2.0,1.94,2.0,1.9936479128856623,1102,4,2197.0,1102.0,100.0,0.06,0.06,1619481600.0
2021-04-26,2.13,2.13,1.98,2.0,2.001547769804418,7107,16,14225.0,6557.0,92.26,0.15,-0.13,1619395200.0
2021-04-23,2.1,2.16,2.01,2.03,2.0856940509915014,4236,18,8835.0,4136.0,97.64,0.15,-0.07,1619136000.0
2021-04-22,2.05,2.06,2.05,2.06,2.053125,320,4,657.0,320.0,100.0,0.01,0.01,1619049600.0
2021-04-20,2.04,2.1,2.02,2.02,2.043938799529227,2549,16,5210.0,2548.0,99.96,0.08,-0.02,1618876800.0
2021-04-19,2.05,2.16,2.04,2.11,2.062009261123414,4967,25,10242.0,4633.0,93.28,0.12,0.06,1618790400.0
2021-04-16,2.11,2.11,2.04,2.06,2.046112115732369,5530,22,11315.0,4330.0,78.3,0.07,-0.05,1618531200.0
2021-04-15,2.14,2.21,2.14,2.14,2.150301204819277,3320,35,7139.0,3220.0,96.99,0.07,0.0,1618444800.0
2021-04-13,2.19,2.24,2.08,2.24,2.118617439120188,2546,22,5394.0,2356.0,92.54,0.16,0.05,1618272000.0
2021-04-12,2.29,2.29,2.18,2.18,2.180428134556575,7521,12,16399.0,7115.0,94.6,0.11,-0.11,1618185600.0
2021-04-09,2.15,2.33,2.15,2.29,2.262461402734892,2267,12,5129.0,1766.0,77.9,0.18,0.14,1617926400.0
2021-04-08,2.16,2.24,2.06,2.24,2.1896300834801257,13057,34,28590.0,11721.0,89.77,0.18,0.08,1617840000.0
2021-04-07,2.06,2.16,2.06,2.16,2.150909090909091,2200,2,4732.0,2200.0,100.0,0.1,0.1,1617753600.0
2021-04-06,2.06,2.06,1.99,2.06,2.0055564375297665,6299,13,12633.0,6239.0,99.05,0.07,0.0,1617667200.0
2021-04-05,1.99,2.11,1.96,1.97,1.9770867430441896,5499,16,10872.0,5420.0,98.56,0.15,-0.02,1617580800.0
2021-04-01,2.11,2.11,1.99,2.06,2.070063694267516,2041,10,4225.0,1995.0,97.75,0.12,-0.05,1617235200.0
2021-03-31,2.15,2.16,1.99,2.01,2.0695546737213406,27216,31,56325.0,25216.0,92.65,0.17,-0.14,1617148800.0
2021-03-30,2.16,2.16,2.05,2.09,2.110574018126888,1655,8,3493.0,1400.0,84.59,0.11,-0.07,1617062400.0
2021-03-26,2.2,2.21,2.1,2.1,2.1105690409234663,627635,28,1324667.0,627425.0,99.97,0.11,-0.1,1616716800.0
2021-03-25,2.22,2.22,2.21,2.21,2.2104761904761903,1050,2,2321.0,1050.0,100.0,0.01,-0.01,1616630400.0
2021-03-24,2.3,2.3,2.3,2.3,2.3,36600,2,84180.0,36600.0,100.0,0.0,0.0,1616544000.0
2021-03-23,2.34,2.34,2.2,2.29,2.2603846153846154,2600,6,5877.0,2600.0,100.0,0.14,-0.05,1616457600.0
2021-03-22,2.39,2.44,2.28,2.28,2.304562268803945,1622,5,3738.0,871.0,53.7,0.16,-0.11,1616371200.0
2021-03-19,2.5,2.5,2.34,2.34,2.4475,2400,5,5874.0,2400.0,100.0,0.16,-0.16,1616112000.0
2021-03-18,2.66,2.66,2.44,2.45,2.449456975772765,2394,10,5864.0,2386.0,99.67,0.22,-0.21,1616025600.0
2021-03-17,2.54,2.55,2.54,2.55,2.5438048780487805,5125,12,13037.0,5025.0,98.05,0.01,0.01,1615939200.0
2021-03-16,2.55,2.66,2.55,2.66,2.597540983606557,1220,6,3169.0,1220.0,100.0,0.11,0.11,1615852800.0
2021-03-15,2.53,2.66,2.53,2.6,2.594404100811619,9364,16,24294.0,8727.0,93.2,0.13,0.07,1615766400.0
2021-03-12,2.65,2.68,2.55,2.55,2.6188154568436257,5538,9,14503.0,5538.0,100.0,0.13,-0.1,1615507200.0
2021-03-10,2.64,2.69,2.62,2.64,2.637832699619772,1052,8,2775.0,1051.0,99.9,0.07,0.0,1615334400.0
2021-03-09,2.58,2.58,2.58,2.58,2.0,1,1,2.0,1.0,100.0,0.0,0.0,1615248000.0
2021-03-08,2.56,2.56,2.47,2.51,2.5202340321794248,4102,20,10338.0,3702.0,90.25,0.09,-0.05,1615161600.0
2021-03-05,2.75,2.75,2.55,2.59,2.633417041406296,17123,22,45092.0,10024.0,58.54,0.2,-0.16,1614902400.0
2021-03-04,2.6,2.68,2.58,2.68,2.5894736842105264,3325,9,8610.0,3324.0,99.97,0.1,0.08,1614816000.0
2021-03-03,2.59,2.6,2.58,2.6,2.58800666296502,5403,24,13983.0,5403.0,100.0,0.02,0.01,1614729600.0
2021-03-02,2.74,2.81,2.65,2.71,2.7124147339699864,3665,27,9941.0,3460.0,94.41,0.16,-0.03,1614643200.0
2021-03-01,2.81,2.81,2.65,2.7,2.7887469248472345,25202,70,70282.0,25186.0,99.94,0.16,-0.11,1614556800.0
2021-02-26,2.86,2.86,2.65,2.78,2.741117926165953,8641,27,23686.0,5872.0,67.96,0.21,-0.08,1614297600.0
2021-02-25,2.76,2.77,2.59,2.76,2.747512437810945,1608,12,4418.0,863.0,53.67,0.18,0.0,1614211200.0
2021-02-24,2.56,2.65,2.45,2.64,2.644684252597921,10008,16,26468.0,10004.0,99.96,0.2,0.08,1614124800.0
2021-02-23,2.34,2.54,2.34,2.53,2.455243949289281,2603,13,6391.0,2603.0,100.0,0.2,0.19,1614038400.0
2021-02-22,2.46,2.46,2.46,2.46,2.4,5,1,12.0,5.0,100.0,0.0,0.0,1613952000.0
2021-02-19,2.65,2.66,2.52,2.55,2.5544570769484265,6069,23,15503.0,5040.0,83.04,0.14,-0.1,1613692800.0
2021-02-18,2.64,2.82,2.64,2.65,2.753126503126503,8316,42,22895.0,8025.0,96.5,0.18,0.01,1613606400.0
2021-02-17,2.69,2.76,2.67,2.69,2.683123877917415,4456,26,11956.0,4228.0,94.88,0.09,0.0,1613520000.0
2021-02-16,2.79,2.81,2.66,2.81,2.673178458289335,5682,16,15189.0,5378.0,94.65,0.15,0.02,1613433600.0
2021-02-15,2.89,2.89,2.79,2.79,2.8198529411764706,4624,29,13039.0,3779.0,81.73,0.1,-0.1,1613347200.0
2021-02-12,2.7,2.76,2.7,2.76,2.73,200,2,546.0,200.0,100.0,0.06,0.06,1613088000.0
2021-02-11,2.69,2.76,2.64,2.7,2.657163478888488,2771,14,7363.0,2649.0,95.6,0.12,0.01,1613001600.0
2021-02-10,2.8,2.8,2.68,2.76,2.703688608110862,14721,9,39801.0,10121.0,68.75,0.12,-0.04,1612915200.0
2021-02-09,2.75,2.82,2.64,2.82,2.7967086156824785,9297,13,26001.0,8897.0,95.7,0.18,0.07,1612828800.0
2021-02-08,2.81,2.86,2.69,2.69,2.7211391437308867,5232,18,14237.0,4532.0,86.62,0.17,-0.12,1612742400.0
2021-02-05,3.05,3.05,2.77,2.77,2.8400310834813496,9008,25,25583.0,7786.0,86.43,0.28,-0.28,1612483200.0
2021-02-04,2.74,2.91,2.74,2.91,2.86285186894324,10835,23,31019.0,9759.0,90.07,0.17,0.17,1612396800.0
2021-02-03,3.15,3.15,2.87,2.87,2.9082435791217893,14484,32,42123.0,11792.0,81.41,0.28,-0.28,1612310400.0
2021-02-02,3.05,3.05,2.85,3.02,2.9677948237498537,8539,59,25342.0,8329.0,97.54,0.2,-0.03,1612224000.0
2021-02-01,2.86,2.92,2.74,2.91,2.866435575541815,32022,66,91789.0,24958.0,77.94,0.18,0.05,1612137600.0
2021-01-29,2.79,2.79,2.75,2.79,2.789687795648061,10570,22,29487.0,10570.0,100.0,0.04,0.0,1611878400.0
2021-01-28,2.66,2.66,2.66,2.66,2.642857142857143,28,3,74.0,14.0,50.0,0.0,0.0,1611792000.0
2021-01-27,2.39,2.54,2.35,2.54,2.4600725952813067,2204,9,5422.0,2093.0,94.96,0.19,0.15,1611705600.0
2021-01-25,2.51,2.51,2.41,2.42,2.4827403080191184,3766,38,9350.0,3470.0,92.14,0.1,-0.09,1611532800.0
2021-01-22,2.64,2.64,2.5,2.5,2.538833549877292,13854,46,35173.0,13054.0,94.23,0.14,-0.14,1611273600.0
2021-01-21,2.5,2.61,2.48,2.6,2.5544554455445545,16867,19,43086.0,12684.0,75.2,0.13,0.1,1611187200.0
