DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-06,500231,8387,508253,17153,1078454,48.9
2021-05-06,500233,1769,1607845,2575,2349149,68.7
2021-05-06,500234,7638,1794930,13673,3159420,55.86
2021-05-06,500235,5090,1871339,10085,3744918,50.47
2021-05-06,500236,705,1501,705,1501,100.0
2021-05-06,500238,808,1737079,1578,3399635,51.2
2021-05-06,500239,43364,1496058,70038,2431973,61.91
2021-05-06,500240,7059,277909,7059,277909,100.0
2021-05-06,500241,4500,1082700,5637,1357194,79.83
2021-05-06,500243,341,472933,373,516131,91.42
2021-05-06,500245,40106,9033877,82275,18550661,48.75
2021-05-06,500246,100,2975,100,2975,100.0
2021-05-06,500247,80019,142981951,137213,243863520,58.32
2021-05-06,500249,7876,7267186,13477,12316127,58.44
2021-05-06,500250,5052,1445378,8211,2374697,61.53
2021-05-06,500251,8155,6346221,28492,22234841,28.62
2021-05-06,500252,193,1189652,319,1972608,60.5
2021-05-06,500253,31362,12930553,66163,27317698,47.4
2021-05-06,500257,90311,108106783,543933,649025746,16.6
2021-05-06,500259,7183,294863,7183,294862,100.0
2021-05-06,500260,1530,1494198,8905,8686120,17.18
2021-05-06,500264,5868,590321,8074,812909,72.68
2021-05-06,500265,3132,910316,7634,2233989,41.03
2021-05-06,500266,109,385337,143,506768,76.22
2021-05-06,500267,11829,1285813,40282,4497779,29.37
2021-05-06,500268,107197,8999189,231737,19613688,46.26
2021-05-06,500271,7118,6632909,55458,51631221,12.83
2021-05-06,500274,300,1656,300,1656,100.0
2021-05-06,500279,41615,666257,41615,666256,100.0
2021-05-06,500280,1489,390416,2234,586769,66.65
2021-05-06,500284,317,10953,725,25155,43.72
2021-05-06,500285,55569,3489734,105743,6646443,52.55
2021-05-06,500288,195563,11518661,195578,11519544,99.99
2021-05-06,500290,119,9272594,831,65103297,14.32
2021-05-06,500292,7390,1802791,12237,2966333,60.39
2021-05-06,500294,101743,7544244,208444,15440171,48.81
2021-05-06,500295,201565,54210907,976730,261946278,20.64
2021-05-06,500296,10261,1180015,16964,1902834,60.49
2021-05-06,500298,3920,9269624,7128,17052469,54.99
2021-05-06,500300,54276,78578079,84824,122537211,63.99
2021-05-06,500302,6708,11403600,28293,48145164,23.71
2021-05-06,500304,38359,6649533,107387,18385179,35.72
2021-05-06,500306,157403,5776691,184431,6613405,85.35
2021-05-06,500307,1520,433200,3018,862130,50.36
2021-05-06,500312,458361,50465547,1404474,155951519,32.64
2021-05-06,500314,1026,25343,1341,33232,76.51
2021-05-06,500317,14267,134681,40328,379924,35.38
2021-05-06,500319,28107,819320,35278,1029376,79.67
2021-05-06,500325,64314,124119589,231521,444649781,27.78
2021-05-06,500327,9448,126887,31130,430628,30.35
2021-05-06,500330,19149,6283745,36807,12104724,52.03
2021-05-06,500331,2288,4118400,6032,10907261,37.93
2021-05-06,500333,19911,8501997,27325,12035883,72.87
2021-05-06,500335,1515,1410541,2739,2548673,55.31
2021-05-06,500336,8785,4067895,24179,11028223,36.33
2021-05-06,500337,54,2347,54,2251,100.0
