Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-08,4.01,4.01,4.01,4.01,4.01,8000,1,32080.0,8000,100.0,0.0,0.0,1617840000.0
2021-03-05,5.0,5.0,5.0,5.0,5.0,16000,1,80000.0,16000,100.0,0.0,0.0,1614902400.0
2021-02-16,5.21,5.21,5.21,5.21,5.21,8000,1,41680.0,8000,100.0,0.0,0.0,1613433600.0
2021-01-29,6.5,6.5,6.5,6.5,6.5,16000,1,104000.0,16000,100.0,0.0,0.0,1611878400.0
2020-12-11,7.0,7.0,7.0,7.0,7.0,8000,1,56000.0,8000,100.0,0.0,0.0,1607644800.0
2020-12-10,7.23,7.23,7.23,7.23,7.23,8000,1,57840.0,8000,100.0,0.0,0.0,1607558400.0
2020-12-02,7.11,7.11,7.11,7.11,7.11,8000,1,56880.0,8000,100.0,0.0,0.0,1606867200.0
2020-11-02,8.64,8.88,8.64,8.88,8.76,16000,2,140160.0,16000,100.0,0.24,0.24,1604275200.0
2020-04-27,8.12,8.12,8.12,8.12,8.12,8000,1,64960.0,8000,100.0,0.0,0.0,1587945600.0
2020-04-24,7.99,7.99,7.99,7.99,7.99,8000,1,63920.0,8000,100.0,0.0,0.0,1587686400.0
2020-04-20,7.9,7.9,7.9,7.9,7.9,8000,1,63200.0,8000,100.0,0.0,0.0,1587340800.0
2020-04-16,7.58,7.58,7.58,7.58,7.58,8000,1,60640.0,8000,100.0,0.0,0.0,1586995200.0
2020-04-15,6.9,6.9,6.9,6.9,6.9,8000,1,55200.0,8000,100.0,0.0,0.0,1586908800.0
2020-04-13,6.3,6.3,6.3,6.3,6.3,8000,1,50400.0,8000,100.0,0.0,0.0,1586736000.0
2020-04-09,5.75,5.75,5.75,5.75,5.75,8000,1,46000.0,8000,100.0,0.0,0.0,1586390400.0
2020-04-08,4.8,4.8,4.8,4.8,4.8,8000,1,38400.0,8000,100.0,0.0,0.0,1586304000.0
2019-12-06,4.02,4.02,4.02,4.02,4.02,8000,1,32160.0,8000,100.0,0.0,0.0,1575590400.0
2019-11-08,3.41,3.41,3.41,3.41,3.41,8000,1,27280.0,8000,100.0,0.0,0.0,1573171200.0
2019-11-07,4.25,4.25,4.25,4.25,4.25,8000,1,34000.0,8000,100.0,0.0,0.0,1573084800.0
