Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-01-01,23.6,23.6,23.6,23.6,23.0,1,1,23.0,1,100.0,0.0,0.0,1609459200.0
2020-12-23,22.5,22.5,22.5,22.5,22.454545454545453,11,1,247.0,11,100.0,0.0,0.0,1608681600.0
2020-12-07,21.45,21.45,21.45,21.45,21.0,1,1,21.0,1,100.0,0.0,0.0,1607299200.0
2020-11-20,20.45,20.45,20.45,20.45,20.416666666666664,12,2,245.0,12,100.0,0.0,0.0,1605830400.0
2020-11-19,19.5,19.5,19.5,19.5,19.0,1,1,19.0,1,100.0,0.0,0.0,1605744000.0
2020-11-09,18.6,18.6,18.6,18.6,18.545454545454543,11,1,204.0,11,100.0,0.0,0.0,1604880000.0
2020-09-02,17.75,17.75,17.75,17.75,17.72,25,1,443.0,25,100.0,0.0,0.0,1599004800.0
2020-08-28,17.0,17.0,17.0,17.0,17.0,25,1,425.0,25,100.0,0.0,0.0,1598572800.0
2020-08-24,16.24,16.24,16.24,16.24,16.24,50,2,812.0,50,100.0,0.0,0.0,1598227200.0
2020-08-05,15.47,15.47,15.47,15.47,15.0,1,1,15.0,1,100.0,0.0,0.0,1596585600.0
2020-07-30,14.74,14.74,14.74,14.74,14.74,100,1,1474.0,100,100.0,0.0,0.0,1596067200.0
2020-06-22,14.04,14.04,14.04,14.04,14.0,20,2,280.0,20,100.0,0.0,0.0,1592784000.0
2020-06-19,13.38,13.38,13.38,13.38,13.0,1,1,13.0,1,100.0,0.0,0.0,1592524800.0
2020-06-18,12.75,12.75,12.75,12.75,12.0,1,1,12.0,1,100.0,0.0,0.0,1592438400.0
2020-06-16,12.15,12.15,12.15,12.15,12.0,1,1,12.0,1,100.0,0.0,0.0,1592265600.0
2020-06-05,11.58,11.58,11.58,11.58,11.0,1,1,11.0,1,100.0,0.0,0.0,1591315200.0
2020-06-03,11.03,11.03,11.03,11.03,11.0,1,1,11.0,1,100.0,0.0,0.0,1591142400.0
2020-06-01,10.51,10.51,10.51,10.51,10.0,1,1,10.0,1,100.0,0.0,0.0,1590969600.0
2020-05-13,10.01,10.01,10.01,10.01,10.0,1,1,10.0,1,100.0,0.0,0.0,1589328000.0
2020-05-11,9.54,9.54,9.54,9.54,9.0,1,1,9.0,1,100.0,0.0,0.0,1589155200.0
2020-05-06,9.09,9.09,9.09,9.09,9.0,5,1,45.0,5,100.0,0.0,0.0,1588723200.0
2020-02-19,8.66,8.66,8.66,8.66,8.659405940594059,1010,2,8746.0,1010,100.0,0.0,0.0,1582070400.0
2020-01-14,8.25,8.25,8.25,8.25,8.24,50,2,412.0,50,100.0,0.0,0.0,1578960000.0
