Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-28,13.75,13.75,13.75,13.75,13.745664739884392,173,2,2378.0,173,100.0,0.0,0.0,1619568000.0
2021-04-27,13.75,13.75,13.75,13.75,13.74,50,1,687.0,50,100.0,0.0,0.0,1619481600.0
2021-04-26,13.75,13.75,13.75,13.75,13.75,268,4,3685.0,268,100.0,0.0,0.0,1619395200.0
2021-04-12,13.75,13.75,13.75,13.75,13.75,320,2,4400.0,320,100.0,0.0,0.0,1618185600.0
2021-04-09,13.75,13.75,13.75,13.75,13.0,1,1,13.0,1,100.0,0.0,0.0,1617926400.0
2021-03-26,13.75,13.75,13.75,13.75,13.749884633133364,6501,5,89388.0,6501,100.0,0.0,0.0,1616716800.0
2021-03-25,13.75,13.75,13.75,13.75,13.75,9000,7,123750.0,9000,100.0,0.0,0.0,1616630400.0
2021-03-24,13.5,13.5,13.5,13.5,13.5,1000,1,13500.0,1000,100.0,0.0,0.0,1616544000.0
2021-03-23,13.3,13.3,13.3,13.3,13.3,740,4,9842.0,740,100.0,0.0,0.0,1616457600.0
2021-03-22,13.0,13.0,13.0,13.0,13.0,200,1,2600.0,200,100.0,0.0,0.0,1616371200.0
2021-03-19,12.77,12.77,12.77,12.77,12.77,1000,1,12770.0,1000,100.0,0.0,0.0,1616112000.0
2021-03-18,12.5,12.5,12.5,12.5,12.5,1000,1,12500.0,1000,100.0,0.0,0.0,1616025600.0
2021-03-17,12.25,12.25,12.25,12.25,12.25,1100,3,13475.0,1100,100.0,0.0,0.0,1615939200.0
2021-03-01,12.0,12.0,12.0,12.0,12.0,600,1,7200.0,600,100.0,0.0,0.0,1614556800.0
2021-02-22,12.25,12.25,12.25,12.25,12.248868778280542,442,1,5414.0,442,100.0,0.0,0.0,1613952000.0
2021-02-19,12.5,12.5,12.5,12.5,12.5,5500,1,68750.0,5500,100.0,0.0,0.0,1613692800.0
