Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-03-24,2.35,2.35,2.35,2.35,2.35,200,1,470.0,200.0,100.0,0.0,0.0,1616544000.0
2021-03-04,2.24,2.24,2.24,2.24,2.24,350,2,784.0,350.0,100.0,0.0,0.0,1614816000.0
2021-03-02,2.35,2.35,2.35,2.35,2.3,10,1,23.0,10.0,100.0,0.0,0.0,1614643200.0
2021-02-17,2.43,2.43,2.43,2.43,2.43,100,1,243.0,100.0,100.0,0.0,0.0,1613520000.0
2021-02-16,2.4,2.4,2.4,2.4,2.398843930635838,346,2,830.0,346.0,100.0,0.0,0.0,1613433600.0
2021-02-15,2.48,2.48,2.48,2.48,2.48,300,2,744.0,300.0,100.0,0.0,0.0,1613347200.0
2021-02-10,2.6,2.6,2.48,2.48,2.522781774580336,417,5,1052.0,417.0,100.0,0.12,-0.12,1612915200.0
2021-02-04,2.6,2.6,2.6,2.6,2.6,130,5,338.0,130.0,100.0,0.0,0.0,1612396800.0
2021-01-29,2.6,2.6,2.6,2.6,2.6,300,3,780.0,300.0,100.0,0.0,0.0,1611878400.0
2021-01-27,2.72,2.72,2.72,2.72,2.72,500,2,1360.0,500.0,100.0,0.0,0.0,1611705600.0
2021-01-21,2.85,2.85,2.85,2.85,2.85,1300,2,3705.0,1300.0,100.0,0.0,0.0,1611187200.0
2021-01-19,3.0,3.0,3.0,3.0,3.0,200,2,600.0,200.0,100.0,0.0,0.0,1611014400.0
2021-01-15,3.15,3.15,3.15,3.15,3.1475409836065573,61,2,192.0,61.0,100.0,0.0,0.0,1610668800.0
2021-01-14,3.31,3.31,3.31,3.31,3.31,100,3,331.0,100.0,100.0,0.0,0.0,1610582400.0
2021-01-13,3.16,3.16,3.16,3.16,3.16,100,1,316.0,100.0,100.0,0.0,0.0,1610496000.0
2021-01-12,3.32,3.32,3.32,3.32,3.32,100,1,332.0,100.0,100.0,0.0,0.0,1610409600.0
2021-01-11,3.19,3.19,3.19,3.19,3.19,300,1,957.0,300.0,100.0,0.0,0.0,1610323200.0
2021-01-07,3.04,3.04,3.04,3.04,3.0,1,1,3.0,1.0,100.0,0.0,0.0,1609977600.0
