Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,company
2021-04-29,1350.6,1369.35,1332.6,1350.5,1349.123761817412,70870,2757,95612401.0,12812.0,18.08,36.75,-0.1,1619654400.0,500300
2021-04-30,525.0,525.0,485.0,496.0,486.1806282722513,382,14,185721.0,363.0,95.03,40.0,-29.0,1619740800.0,514036
2021-04-30,168.65,174.0,168.65,171.2,172.359151429543,38229,927,6589118.0,19761.0,51.69,5.35,2.55,1619740800.0,532756
2021-04-30,2.68,2.68,2.68,2.68,2.68,50,1,134.0,50.0,100.0,0.0,0.0,1619740800.0,526251
2021-04-20,39.65,39.65,39.65,39.65,39.0,1,1,39.0,1.0,100.0,0.0,0.0,1618876800.0,530245
2021-04-30,34.05,37.4,34.0,37.35,37.1563367252544,4324,16,160664.0,4014.0,92.83,3.4,3.3,1619740800.0,530977
2015-02-06,7.94,7.94,7.94,7.94,7.94,200,2,1588.0,200.0,100.0,0.0,0.0,1423180800.0,530855
2021-04-29,3.79,3.79,3.43,3.43,3.4709302325581395,172,3,597.0,151.0,87.79,0.36,-0.36,1619654400.0,531413
2021-04-29,13836.15,13948.0,13442.55,13541.45,13664.584140435836,1652,654,22573893.0,510.0,30.87,505.45,-294.7,1619654400.0,500530
2021-04-30,52.35,52.35,52.35,52.35,52.349629629629625,1350,18,70672.0,1350.0,100.0,0.0,0.0,1619740800.0,531260
2021-04-30,2.29,2.33,2.29,2.33,2.290909090909091,110,2,252.0,110.0,100.0,0.04,0.04,1619740800.0,526865
2021-04-30,245.0,254.45,243.5,247.65,250.6221863676951,290061,1948,72695722.0,27841.0,9.6,10.95,2.65,1619740800.0,532868
2021-04-29,233.35,234.35,230.55,233.05,232.3941165010715,10266,366,2385758.0,4857.0,47.31,3.8,-0.3,1619654400.0,500292
2021-04-30,113.9,113.9,113.9,113.9,113.0,1,1,113.0,1.0,100.0,0.0,0.0,1619740800.0,531616
2021-04-30,537.0,537.0,511.0,522.9,528.1859725234996,20745,689,10957218.0,2637.0,12.71,26.0,-14.1,1619740800.0,531500
2021-04-29,989.8,998.0,966.4,987.25,980.9132490379328,36380,1269,35685624.0,8351.0,22.95,31.6,-2.55,1619654400.0,500260
2021-04-30,0.48,0.51,0.48,0.48,0.4855844809155505,63612,55,30889.0,63612.0,100.0,0.03,0.0,1619740800.0,531411
2021-04-30,38.5,38.5,38.4,38.4,38.44239631336406,217,3,8342.0,217.0,100.0,0.1,-0.1,1619740800.0,531156
2021-04-26,6.26,6.26,6.26,6.26,6.26,200,1,1252.0,200.0,100.0,0.0,0.0,1619395200.0,526869
2021-04-29,1860.75,1886.9,1814.0,1820.65,1856.0217391304348,920,190,1707540.0,590.0,64.13,72.9,-40.1,1619654400.0,500133
2021-04-29,1859.15,1891.55,1834.05,1848.7,1868.872505543237,902,287,1685723.0,415.0,46.01,57.5,-10.45,1619654400.0,500092
2021-04-29,215.25,216.3,206.75,207.85,209.88891127278387,436822,4676,91684094.0,88061.0,20.16,9.55,-7.4,1619654400.0,500877
2021-04-29,1.11,1.13,1.07,1.09,1.0928231385415337,578498,294,632196.0,578498.0,100.0,0.06,-0.02,1619654400.0,500102
2021-04-30,17.2,17.9,17.2,17.75,17.471762048192772,5312,23,92810.0,5312.0,100.0,0.7,0.55,1619740800.0,530017
2021-04-30,0.38,0.42,0.38,0.39,0.4086404066073697,51155,33,20904.0,51155.0,100.0,0.04,0.01,1619740800.0,532874
2021-04-29,308.0,310.2,301.35,301.85,304.77137133129884,1683634,14647,513123443.0,275645.0,16.37,8.85,-6.15,1619654400.0,500570
2021-04-30,85.0,93.85,81.15,92.8,87.88814741631185,568838,4128,49994118.0,163016.0,28.66,12.7,7.8,1619740800.0,526227
2021-04-30,47.0,48.15,46.4,47.05,47.06962891797767,41635,510,1959744.0,24453.0,58.73,1.75,0.05,1619740800.0,532966
2021-04-30,43.9,43.9,43.9,43.9,43.89975550122249,1227,15,53865.0,1227.0,100.0,0.0,0.0,1619740800.0,524582
2021-04-30,0.8,0.83,0.8,0.83,0.8234203875315922,11870,7,9774.0,11870.0,100.0,0.03,0.03,1619740800.0,532746
2021-04-30,3.45,3.45,3.35,3.35,3.353503184713376,314,3,1053.0,314.0,100.0,0.1,-0.1,1619740800.0,530579
2021-04-30,4.18,4.18,4.17,4.17,4.172307692307692,325,4,1356.0,325.0,100.0,0.01,-0.01,1619740800.0,531574
2021-04-29,129.9,131.2,129.1,129.85,130.11607329386035,378149,1823,49203263.0,81968.0,21.68,2.1,-0.05,1619654400.0,500049
2021-04-30,6.8,6.8,6.8,6.8,6.0,1,1,6.0,1.0,100.0,0.0,0.0,1619740800.0,526025
2021-04-30,153.9,153.9,148.4,150.45,151.44472292796812,29126,898,4410979.0,15902.0,54.6,5.5,-3.45,1619740800.0,532815
2021-03-23,12.8,12.8,12.8,12.8,12.8,500,1,6400.0,500.0,100.0,0.0,0.0,1616457600.0,531003
2021-04-29,1823.0,1845.0,1780.55,1807.1,1808.5794165016323,297413,14740,537895030.0,116563.0,39.19,64.45,-15.9,1619654400.0,500247
2021-04-29,5.59,5.6,5.59,5.6,5.591836734693878,98,2,548.0,98.0,100.0,0.01,0.01,1619654400.0,530271
2021-04-30,249.55,254.25,239.2,245.0,246.99753351884644,15812,366,3905525.0,9950.0,62.93,15.05,-4.55,1619740800.0,524634
2021-04-29,46.2,46.3,43.2,45.0,45.09435049961568,26020,177,1173355.0,19043.0,73.19,3.1,-1.2,1619654400.0,502873
2021-04-30,415.0,454.85,415.0,449.5,439.9764120766866,48457,1531,21319937.0,16370.0,33.78,39.85,34.5,1619740800.0,531595
2021-04-30,4.72,4.72,4.31,4.72,4.503021685033772,2813,29,12667.0,2813.0,100.0,0.41,0.0,1619740800.0,526737
2021-04-29,68.9,69.2,66.1,67.45,67.60771578408553,207082,2299,14000341.0,101144.0,48.84,3.1,-1.45,1619654400.0,500101
2021-04-29,1722.05,1772.35,1716.0,1718.0,1745.8522727272727,88,30,153635.0,65.0,73.86,56.35,-4.05,1619654400.0,500439
2021-04-29,14.05,14.3,13.5,13.7,13.890186036002108,26554,230,368840.0,11837.0,44.58,0.8,-0.35,1619654400.0,500327
2021-04-29,6.05,6.05,6.05,6.05,6.049960031974421,2502,8,15137.0,2502.0,100.0,0.0,0.0,1619654400.0,532744
2021-04-29,23.2,26.0,23.2,25.2,24.66700759569828,132970,410,3279972.0,117106.0,88.07,2.8,2.0,1619654400.0,500009
2021-04-30,23.0,23.0,20.86,20.86,21.942446043165468,417,6,9150.0,417.0,100.0,2.14,-2.14,1619740800.0,531608
2021-04-27,5.33,5.33,5.08,5.08,5.283333333333333,60,6,317.0,60.0,100.0,0.25,-0.25,1619481600.0,501311
2021-04-29,23.0,24.25,23.0,24.15,23.66017569927791,38361,164,907628.0,31807.0,82.91,1.25,1.15,1619654400.0,500422
2021-04-29,16.15,16.55,15.9,16.1,16.139851037355385,226634,894,3657839.0,120002.0,52.95,0.65,-0.05,1619654400.0,500108
2021-04-30,4.0,4.0,4.0,4.0,4.0,14,4,56.0,14.0,100.0,0.0,0.0,1619740800.0,531336
2021-04-29,186.2,186.3,178.3,182.1,182.44006309148264,1268,263,231334.0,840.0,66.25,8.0,-4.1,1619654400.0,500234
2021-04-29,1.65,1.69,1.57,1.58,1.6337115072933548,1851,11,3024.0,1851.0,100.0,0.12,-0.07,1619654400.0,500192
2021-04-30,9.4,9.7,8.76,9.01,9.07566302652106,2564,40,23270.0,1295.0,50.51,0.94,-0.39,1619740800.0,531471
2021-04-29,41.55,43.5,41.55,42.35,42.47131147540984,1708,21,72541.0,1516.0,88.76,1.95,0.8,1619654400.0,500337
2021-04-29,2.0,2.0,2.0,2.0,2.0,125,1,250.0,125.0,100.0,0.0,0.0,1619654400.0,500174
2021-04-29,3485.15,3503.9,3448.8,3470.55,3472.708249334731,49604,6659,172260220.0,25091.0,50.58,55.1,-14.6,1619654400.0,500825
2021-02-25,5.32,5.32,5.32,5.32,5.32,400,1,2128.0,400.0,100.0,0.0,0.0,1614211200.0,530161
2021-04-30,604.0,622.0,597.0,604.1,614.0494506373248,62527,2040,38394670.0,19576.0,31.31,25.0,0.1,1619740800.0,532899
2021-04-30,18.9,18.9,18.3,18.3,18.510245901639344,488,39,9033.0,427.0,87.5,0.6,-0.6,1619740800.0,532980
2021-04-30,190.65,198.6,188.25,191.0,194.275287283748,7919,550,1538466.0,5379.0,67.93,10.35,0.35,1619740800.0,532934
2021-04-30,184.6,184.6,178.0,178.35,179.9101453460391,20778,880,3738173.0,9840.0,47.36,6.6,-6.25,1619740800.0,532805
2021-04-30,119.0,127.2,115.05,121.6,121.92153200582332,245221,4427,29897720.0,75743.0,30.89,12.15,2.6,1619740800.0,530007
2021-04-30,10.31,10.31,10.31,10.31,10.31,100,1,1031.0,100.0,100.0,0.0,0.0,1619740800.0,530809
2021-04-29,705.0,706.0,695.0,699.15,699.7481758652947,5345,576,3740154.0,3397.0,63.55,11.0,-5.85,1619654400.0,500368
2021-04-30,0.21,0.21,0.2,0.21,0.2095766185115813,377461,24,79107.0,377461.0,100.0,0.01,0.0,1619740800.0,530699
2021-04-29,39.05,43.2,38.3,42.7,41.75761409433781,736693,2972,30762542.0,246443.0,33.45,4.9,3.65,1619654400.0,500109
2021-04-29,15.49,15.49,14.99,15.07,15.238600067243842,95176,143,1450349.0,73812.0,77.55,0.5,-0.42,1619654400.0,500365
2021-04-27,4.18,4.18,4.18,4.18,4.179465776293823,1198,1,5007.0,1198.0,100.0,0.0,0.0,1619481600.0,531017
2021-04-30,35.0,36.7,33.35,35.15,35.41386884217132,3187,20,112864.0,2561.0,80.36,3.35,0.15,1619740800.0,530521
2021-04-30,80.8,81.8,77.1,81.0,80.64128099980472,5121,39,412964.0,5121.0,100.0,4.7,0.2,1619740800.0,514234
2021-04-30,36.9,36.9,36.85,36.9,36.89712986643933,3519,52,129841.0,3519.0,100.0,0.05,0.0,1619740800.0,526301
2021-04-30,180.0,183.9,176.25,179.0,180.23950700718504,56228,1928,10134507.0,38827.0,69.05,7.65,-1.0,1619740800.0,514183
2021-04-29,3142.0,3156.3,3105.4,3113.2,3132.1654277755674,62825,4300,196778293.0,33857.0,53.89,50.9,-28.8,1619654400.0,532540
