Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-06,5.46,5.88,5.37,5.67,5.609781576448243,10530.0,53.0,59071.0,5887.0,55.91,0.5099999999999998,0.2099999999999999,1620259200.0
2021-05-05,5.42,5.94,5.2,5.81,5.790586935611364,210006.0,144.0,1216058.0,196582.0,93.61,0.7400000000000002,0.3899999999999997,1620153000.0
2021-05-04,5.74,5.95,5.05,5.76,5.637141379796619,127642.0,148.0,719536.0,70371.0,55.13,0.9000000000000004,0.0199999999999995,1620086400.0
2021-05-03,5.7,5.7,5.15,5.58,5.36797278386334,41446.0,68.0,222481.0,34491.0,83.22,0.55,-0.12,1620000000.0
2021-04-30,5.45,5.7,5.24,5.52,5.496119615521538,14045.0,51.0,77193.0,11494.0,81.84,0.46,0.07,1619740800.0
2021-04-29,5.65,5.65,5.22,5.41,5.439268867924528,5088.0,31.0,27675.0,4576.0,89.94,0.43,-0.24,1619654400.0
2021-04-28,5.55,5.86,5.21,5.5,5.431510173604629,26785.0,56.0,145483.0,23573.0,88.01,0.65,-0.05,1619568000.0
2021-04-27,5.4,5.6,5.2,5.33,5.348550724637681,11040.0,55.0,59048.0,6868.0,62.21,0.4,-0.07,1619481600.0
2021-04-26,5.6,5.95,5.15,5.46,5.409295940380466,56089.0,78.0,303402.0,55004.0,98.07,0.8,-0.14,1619395200.0
2021-04-23,5.3,5.63,4.96,5.57,5.390694623509986,44211.0,66.0,238328.0,40871.0,92.45,0.67,0.27,1619136000.0
2021-04-22,5.25,5.25,4.95,5.12,5.1101745576279285,16728.0,47.0,85483.0,13450.0,80.4,0.3,-0.13,1619049600.0
2021-04-20,4.75,5.29,4.75,4.97,5.01854374810778,13212.0,69.0,66305.0,11036.0,83.53,0.54,0.22,1618876800.0
2021-04-19,5.55,5.55,4.72,4.86,4.888084632516704,143680.0,194.0,702320.0,80097.0,55.75,0.83,-0.69,1618790400.0
2021-04-16,5.15,5.35,5.11,5.18,5.174834661692386,5897.0,29.0,30516.0,4401.0,74.63,0.24,0.03,1618531200.0
2021-04-15,5.32,5.4,5.11,5.2,5.1605766840666165,64368.0,42.0,332176.0,61162.0,95.02,0.29,-0.12,1618444800.0
2021-04-13,5.9,5.9,5.32,5.41,5.493723849372385,14818.0,59.0,81406.0,8457.0,57.07,0.58,-0.49,1618272000.0
2021-04-12,4.96,5.88,4.95,5.81,5.71474594404701,250496.0,230.0,1431521.0,138126.0,55.14,0.93,0.85,1618185600.0
2021-04-09,5.5,5.55,4.88,5.35,5.259228175346572,66725.0,88.0,350922.0,46954.0,70.37,0.67,-0.15,1617926400.0
2021-04-08,5.0,5.25,5.0,5.07,5.093222611822435,100673.0,67.0,512750.0,95866.0,95.23,0.25,0.07,1617840000.0
2021-04-07,5.29,5.29,4.91,5.02,4.99606263162714,10921.0,44.0,54562.0,8693.0,79.6,0.38,-0.27,1617753600.0
2021-04-06,5.25,5.25,5.05,5.1,5.117691154422789,9338.0,45.0,47789.0,6679.0,71.52,0.2,-0.15,1617667200.0
2021-04-05,5.05,5.38,5.05,5.15,5.078256008943544,53670.0,67.0,272550.0,49258.0,91.78,0.33,0.1,1617580800.0
2021-04-01,4.85,5.29,4.81,5.15,5.131501472031403,45855.0,71.0,235305.0,34545.0,75.34,0.48,0.3,1617235200.0
2021-03-31,5.07,5.1,4.81,5.05,4.95312925170068,14700.0,61.0,72811.0,12165.0,82.76,0.29,-0.02,1617148800.0
2021-03-30,4.96,5.2,4.85,4.88,4.942489212513484,29664.0,85.0,146614.0,20455.0,68.96,0.35,-0.08,1617062400.0
2021-03-26,5.3,5.3,4.88,5.02,4.953140769933196,124842.0,109.0,618360.0,119308.0,95.57,0.42,-0.28,1616716800.0
2021-03-25,5.5,5.5,5.03,5.1,5.0888175696935365,158910.0,147.0,808664.0,151626.0,95.42,0.47,-0.4,1616630400.0
2021-03-24,5.8,5.8,5.26,5.27,5.389446744881528,173880.0,234.0,937117.0,100492.0,57.79,0.54,-0.53,1616544000.0
2021-03-23,5.71,5.71,5.19,5.53,5.608205579054856,584651.0,765.0,3278843.0,505469.0,86.46,0.52,-0.18,1616457600.0
2021-03-22,5.5,5.5,5.19,5.44,5.351219512195121,2050.0,34.0,10970.0,1509.0,73.61,0.31,-0.06,1616371200.0
2021-03-19,5.55,5.55,5.18,5.29,5.225666464437386,140105.0,43.0,732142.0,122054.0,87.12,0.37,-0.26,1616112000.0
2021-03-18,5.24,5.42,5.1,5.41,5.259838891039466,54249.0,46.0,285341.0,52742.0,97.22,0.32,0.17,1616025600.0
2021-03-17,5.35,5.35,5.17,5.18,5.203827133949688,4651.0,24.0,24203.0,4550.0,97.83,0.18,-0.17,1615939200.0
2021-03-16,5.32,5.38,5.2,5.27,5.244810810810811,18500.0,41.0,97029.0,3030.0,16.38,0.18,-0.05,1615852800.0
2021-03-15,5.4,5.45,5.13,5.44,5.3522246030808684,118538.0,65.0,634442.0,95403.0,80.48,0.32,0.04,1615766400.0
2021-03-12,5.13,5.4,5.13,5.21,5.214734294877951,104138.0,73.0,543052.0,100505.0,96.51,0.27,0.08,1615507200.0
2021-03-10,5.05,5.35,5.05,5.2,5.230976172175249,5204.0,33.0,27222.0,4293.0,82.49,0.3,0.15,1615334400.0
2021-03-09,5.04,5.46,5.04,5.2,5.219012617336548,42719.0,74.0,222951.0,33384.0,78.15,0.42,0.16,1615248000.0
2021-03-08,5.56,5.56,5.12,5.2,5.209203847827138,103435.0,114.0,538814.0,101094.0,97.74,0.44,-0.36,1615161600.0
2021-03-05,5.48,5.48,5.2,5.3,5.306285014005602,11424.0,43.0,60619.0,9043.0,79.16,0.28,-0.18,1614902400.0
2021-03-04,5.17,5.48,5.12,5.31,5.340817790530847,13940.0,54.0,74451.0,12235.0,87.77,0.36,0.14,1614816000.0
2021-03-03,5.5,5.54,5.15,5.35,5.313321226364705,18722.0,69.0,99476.0,14248.0,76.1,0.39,-0.15,1614729600.0
2021-03-02,5.5,5.5,5.16,5.28,5.22773144876325,35375.0,64.0,184931.0,29644.0,83.8,0.34,-0.22,1614643200.0
2021-03-01,5.4,5.46,5.16,5.35,5.316829408385985,8705.0,33.0,46283.0,7120.0,81.79,0.3,-0.05,1614556800.0
2021-02-26,5.47,5.47,5.15,5.27,5.197428493867378,40521.0,113.0,210605.0,34108.0,84.17,0.32,-0.2,1614297600.0
